year ,Abra alba ,Actinia equina ,Ampharete acutifrons ,Ampharete baltica ,Arctica islandica ,Asterias rubens ,Balanus crenatus ,Bylgides sarsi ,Callopora lineata ,Capitella capitata ,Cephalothrix ,Cerastoderma glaucum ,Cirrophorus eliasoni ,Corbula gibba ,Corophium volutator ,Crangon crangon ,Diastylis rathkei ,Electra crustulenta ,Eteone flava ,Eteone longa ,Euchone papillosa ,Eucratea loricata ,Gastrosaccus spinifer ,Gonothyraea loveni ,Halicryptus spinulosus ,Halitholus yoldiaarcticae ,Harmothoe imbricata ,Hartlaubella gelatinosa ,Heteromastus filiformis ,Hydrobia ulvae ,Idotea balthica ,Lagis koreni ,Lepidonotus squamatus ,Levinsenia gracilis ,Lineus ruber ,Macoma balthica ,Malacobdella grossa ,Metridium senile ,Microdeutopus gryllotalpa ,Musculus marmoratus ,Mya arenaria ,Mya truncata ,Mysella bidentata ,Mytilus edulis ,Nemertina ,Nephtys ,Nephtys caeca ,Nephtys ciliata ,Nephtys hombergii ,Nereimyra punctata ,Oligochaeta ,Opercularella pumila ,Ophiura albida ,Paraonis fulgens ,Parvicardium ovale ,Phaxas pellucidus ,Pherusa plumosa ,Philine aperta ,Pholoe ,Pholoe assimilis ,Pholoe baltica ,Pholoe inornata ,Phyllodoce (Anaitides) maculata ,Phyllodoce (Anaitides) mucosa ,Polydora ,Polydora (Polydora) quadrilobata ,Polydora caulleryi ,Polydora ciliata ,Pontoporeia femorata ,Priapulus caudatus ,Pseudopolydora antennata ,Pseudopolydora pulchra ,Pygospio elegans ,Saduria entomon ,Scalibregma inflatum ,Scoloplos armiger ,Streptosyllis websteri ,Terebellides stroemii ,Trochochaeta multisetosa
1984 ,     22.0 ,           0.0 ,                 0.0 ,              0.0 ,             27.0 ,            0.0 ,             0.0 ,           9.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         35.0 ,                0.0 ,            0.0 ,             40.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                  57.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   22.0 ,           0.0 ,            0.0 ,        18.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            5.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             5.0 ,               0.0 ,              5.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             5.0 ,               0.0 ,             0.0 ,                 0.0 ,               5.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1985 ,     11.0 ,           0.0 ,                 0.0 ,              0.0 ,             34.0 ,            0.0 ,             0.0 ,           4.5 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         48.0 ,                0.0 ,            0.0 ,             20.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                  31.5 ,                      0.0 ,                0.0 ,                    0.0 ,                   40.0 ,           0.0 ,            0.0 ,         9.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            2.5 ,              4.5 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             2.5 ,               0.0 ,              2.5 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             2.5 ,               0.0 ,             0.0 ,                 0.0 ,               2.5 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     7.5
1986 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             41.0 ,            0.0 ,             0.0 ,           0.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         61.0 ,                0.0 ,            0.0 ,              0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   58.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,              9.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                    15.0
1987 ,     33.5 ,           0.0 ,                 0.0 ,              6.0 ,             45.5 ,            0.0 ,             0.0 ,          16.0 ,              0.0 ,               1.5 ,         0.0 ,                 0.0 ,                 0.0 ,         38.0 ,                0.0 ,            0.0 ,             12.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  120.0 ,           0.0 ,            0.0 ,         1.5 ,                  0.0 ,                0.0 ,         0.0 ,            3.0 ,                0.0 ,             1.5 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,             10.5 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   8.5 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             1.5 ,               0.0 ,             0.0 ,                 0.0 ,               1.5 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,             19.0 ,                   0.0 ,                  0.0 ,                    10.5
1988 ,     67.0 ,           0.0 ,                 0.0 ,             12.0 ,             50.0 ,            0.0 ,             0.0 ,          32.0 ,              0.0 ,               3.0 ,         0.0 ,                 0.0 ,                 0.0 ,         15.0 ,                0.0 ,            0.0 ,             24.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  182.0 ,           0.0 ,            0.0 ,         3.0 ,                  0.0 ,                0.0 ,         0.0 ,            6.0 ,                0.0 ,             3.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,             12.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,  17.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             3.0 ,               0.0 ,             0.0 ,                 0.0 ,               3.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,             38.0 ,                   0.0 ,                  0.0 ,                     6.0
1989 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             97.0 ,            0.0 ,             0.0 ,           3.0 ,              0.0 ,               0.0 ,         0.0 ,               131.0 ,                 0.0 ,          3.0 ,                0.0 ,            0.0 ,             30.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                 17.0 ,               0.0 ,                   3.0 ,                      0.0 ,                0.0 ,                    0.0 ,                  148.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,             33.0 ,           0.0 ,      0.0 ,    3.0 ,          0.0 ,            0.0 ,             20.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   3.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             0.0 ,               0.0 ,           185.0 ,                 0.0 ,               3.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1990 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             29.0 ,            0.0 ,             0.0 ,           3.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         47.0 ,                0.0 ,            9.0 ,             94.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   6.0 ,                      0.0 ,                0.0 ,                    0.0 ,                   41.0 ,           0.0 ,            0.0 ,        88.0 ,                  0.0 ,                3.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         9.0 ,         0.0 ,              9.0 ,           0.0 ,      0.0 ,    3.0 ,          0.0 ,            0.0 ,             15.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             6.0 ,               0.0 ,             9.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1991 ,    158.0 ,           0.0 ,                 0.0 ,              0.0 ,             18.0 ,            0.0 ,             0.0 ,           9.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         58.0 ,                0.0 ,            0.0 ,              6.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  0.0 ,               0.0 ,                   0.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    6.0 ,           0.0 ,            0.0 ,        29.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           3.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,             26.0 ,               0.0 ,        3.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,     0.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     6.0
1992 ,      0.0 ,           0.0 ,                 0.0 ,              0.0 ,             43.0 ,            0.0 ,             0.0 ,           0.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,        111.0 ,                0.0 ,            2.0 ,             11.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  4.0 ,               0.0 ,                   4.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    0.0 ,           0.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      0.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,           0.0 ,      0.0 ,    0.0 ,          0.0 ,            0.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,   319.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             0.0 ,            2.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
1993 ,      0.0 ,           0.0 ,                 0.0 ,              6.0 ,             57.0 ,            0.0 ,             0.0 ,           0.0 ,              0.0 ,               0.0 ,         0.0 ,                 0.0 ,                 0.0 ,         31.0 ,                3.0 ,            0.0 ,              9.0 ,                0.0 ,         0.0 ,         0.0 ,              0.0 ,              0.0 ,                  3.0 ,               0.0 ,                  25.0 ,                      0.0 ,                0.0 ,                    0.0 ,                    0.0 ,          25.0 ,            0.0 ,         0.0 ,                  0.0 ,                0.0 ,         0.0 ,            0.0 ,                0.0 ,             0.0 ,                      3.0 ,                0.0 ,         0.0 ,         0.0 ,              3.0 ,           3.0 ,      0.0 ,    0.0 ,          3.0 ,            0.0 ,              0.0 ,               0.0 ,        0.0 ,                 0.0 ,           0.0 ,             0.0 ,               0.0 ,              0.0 ,            0.0 ,           0.0 ,   0.0 ,             0.0 ,           0.0 ,            0.0 ,                            0.0 ,                          0.0 ,   160.0 ,                             0.0 ,               0.0 ,             0.0 ,                 0.0 ,               0.0 ,                     0.0 ,                   0.0 ,             9.0 ,            0.0 ,                 0.0 ,              0.0 ,                   0.0 ,                  0.0 ,                     0.0
