year,Abra alba,Alcyonidium polyoum,Ampharete acutifrons,Arctica islandica,Astarte borealis,Astarte elliptica,Bylgides sarsi,Capitella capitata,Corbula gibba,Crangon crangon,Diastylis rathkei,Electra crustulenta,Eteone longa,Eucratea loricata,Eulalia bilineata,Halicryptus spinulosus,Heteromastus filiformis,Hydrobia ulvae,Lagis koreni,Macoma balthica,Musculus discors,Mysella bidentata,Mysis mixta,Mytilus edulis,Neomysis integer,Nephtys ciliata,Nephtys hombergii,Oligochaeta,Phyllodoce (Anaitides) mucosa,Polydora,Polydora (Polydora) quadrilobata,Polydora ciliata,Pontoporeia femorata,Priapulus caudatus,Scoloplos armiger,Terebellides stroemii,Trochochaeta multisetosa,Turbellaria
1984,0.0,0.0,0.0,14.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,14.5,0.0,29.5,0.0,3.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
1986,0.0,0.0,0.0,15.0,0.0,32.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
1987,0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
1988,0.0,0.0,0.0,1.5,0.0,0.0,13.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,0.0,1.5,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,103.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,940.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,1.5,0.0,0.0,17.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,6.5,0.0,9.5,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,1.5,728.0,0.0,4.5,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,516.0,0.0,9.0,0.0
