site,year,species,latitude,longitude,min_depth,max_depth,abundance,site_id,bot_depth,secchi_depth,depth,temperature,salinity,oxygen,phosphate,total_phosphorus,silicate,nitrate_nitrite,nitrate,nitrite,ammonium,total_nitrogen,hydrogen_sulphide,ph,total_alkalinity,chlorophyll_a
site_54.32_11.55,1983,Arctica islandica,54.32,11.55,25.0,25.0,6,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Bylgides sarsi,54.32,11.55,25.0,25.0,15,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Capitella capitata,54.32,11.55,25.0,25.0,3,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Halicryptus spinulosus,54.32,11.55,25.0,25.0,50,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Heteromastus filiformis,54.32,11.55,25.0,25.0,18,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Lagis koreni,54.32,11.55,25.0,25.0,9,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Macoma balthica,54.32,11.55,25.0,25.0,3,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Mysis mixta,54.32,11.55,25.0,25.0,3,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Paraonis fulgens,54.32,11.55,25.0,25.0,3,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1983,Pholoe,54.32,11.55,25.0,25.0,15,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
