site,year,species,latitude,longitude,min_depth,max_depth,abundance,site_id
site_54.32_11.55,1984,Abra alba,54.32,11.55,25.0,25.0,22.0,S0
site_54.32_11.55,1984,Arctica islandica,54.32,11.55,25.0,25.0,27.0,S0
site_54.32_11.55,1984,Bylgides sarsi,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1984,Corbula gibba,54.32,11.55,25.0,25.0,35.0,S0
site_54.32_11.55,1984,Diastylis rathkei,54.32,11.55,25.0,25.0,40.0,S0
site_54.32_11.55,1984,Halicryptus spinulosus,54.32,11.55,25.0,25.0,57.0,S0
site_54.32_11.55,1984,Heteromastus filiformis,54.32,11.55,25.0,25.0,22.0,S0
site_54.32_11.55,1984,Lagis koreni,54.32,11.55,25.0,25.0,18.0,S0
site_54.32_11.55,1984,Nephtys ciliata,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Paraonis fulgens,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Phaxas pellucidus,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1984,Priapulus caudatus,54.32,11.55,25.0,25.0,5.0,S0
site_54.32_11.55,1985,Abra alba,54.32,11.55,25.0,25.0,11.0,S0
site_54.32_11.55,1985,Arctica islandica,54.32,11.55,25.0,25.0,34.0,S0
site_54.32_11.55,1985,Bylgides sarsi,54.32,11.55,25.0,25.0,4.5,S0
site_54.32_11.55,1985,Corbula gibba,54.32,11.55,25.0,25.0,48.0,S0
site_54.32_11.55,1985,Diastylis rathkei,54.32,11.55,25.0,25.0,20.0,S0
site_54.32_11.55,1985,Halicryptus spinulosus,54.32,11.55,25.0,25.0,31.5,S0
site_54.32_11.55,1985,Heteromastus filiformis,54.32,11.55,25.0,25.0,40.0,S0
site_54.32_11.55,1985,Lagis koreni,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1985,Nephtys ciliata,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Paraonis fulgens,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Phaxas pellucidus,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Priapulus caudatus,54.32,11.55,25.0,25.0,2.5,S0
site_54.32_11.55,1985,Nephtys hombergii,54.32,11.55,25.0,25.0,4.5,S0
site_54.32_11.55,1985,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,7.5,S0
site_54.32_11.55,1986,Arctica islandica,54.32,11.55,25.0,25.0,41.0,S0
site_54.32_11.55,1986,Corbula gibba,54.32,11.55,25.0,25.0,61.0,S0
site_54.32_11.55,1986,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1986,Heteromastus filiformis,54.32,11.55,25.0,25.0,58.0,S0
site_54.32_11.55,1986,Nephtys hombergii,54.32,11.55,25.0,25.0,9.0,S0
site_54.32_11.55,1986,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,15.0,S0
site_54.32_11.55,1987,Arctica islandica,54.32,11.55,25.0,25.0,45.5,S0
site_54.32_11.55,1987,Corbula gibba,54.32,11.55,25.0,25.0,38.0,S0
site_54.32_11.55,1987,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1987,Heteromastus filiformis,54.32,11.55,25.0,25.0,120.0,S0
site_54.32_11.55,1987,Nephtys hombergii,54.32,11.55,25.0,25.0,10.5,S0
site_54.32_11.55,1987,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,10.5,S0
site_54.32_11.55,1987,Abra alba,54.32,11.55,25.0,25.0,33.5,S0
site_54.32_11.55,1987,Ampharete baltica,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1987,Bylgides sarsi,54.32,11.55,25.0,25.0,16.0,S0
site_54.32_11.55,1987,Capitella capitata,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Diastylis rathkei,54.32,11.55,25.0,25.0,12.0,S0
site_54.32_11.55,1987,Lagis koreni,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Macoma balthica,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1987,Metridium senile,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Pholoe,54.32,11.55,25.0,25.0,8.5,S0
site_54.32_11.55,1987,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Priapulus caudatus,54.32,11.55,25.0,25.0,1.5,S0
site_54.32_11.55,1987,Scoloplos armiger,54.32,11.55,25.0,25.0,19.0,S0
site_54.32_11.55,1988,Abra alba,54.32,11.55,25.0,25.0,67.0,S0
site_54.32_11.55,1988,Ampharete baltica,54.32,11.55,25.0,25.0,12.0,S0
site_54.32_11.55,1988,Arctica islandica,54.32,11.55,25.0,25.0,50.0,S0
site_54.32_11.55,1988,Bylgides sarsi,54.32,11.55,25.0,25.0,32.0,S0
site_54.32_11.55,1988,Capitella capitata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Corbula gibba,54.32,11.55,25.0,25.0,15.0,S0
site_54.32_11.55,1988,Diastylis rathkei,54.32,11.55,25.0,25.0,24.0,S0
site_54.32_11.55,1988,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1988,Heteromastus filiformis,54.32,11.55,25.0,25.0,182.0,S0
site_54.32_11.55,1988,Lagis koreni,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Macoma balthica,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1988,Metridium senile,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Nephtys hombergii,54.32,11.55,25.0,25.0,12.0,S0
site_54.32_11.55,1988,Pholoe,54.32,11.55,25.0,25.0,17.0,S0
site_54.32_11.55,1988,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Priapulus caudatus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1988,Scoloplos armiger,54.32,11.55,25.0,25.0,38.0,S0
site_54.32_11.55,1988,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,6.0,S0
site_54.32_11.55,1989,Arctica islandica,54.32,11.55,25.0,25.0,97.0,S0
site_54.32_11.55,1989,Bylgides sarsi,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Cerastoderma glaucum,54.32,11.55,25.0,25.0,131.0,S0
site_54.32_11.55,1989,Corbula gibba,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Diastylis rathkei,54.32,11.55,25.0,25.0,30.0,S0
site_54.32_11.55,1989,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,17.0,S0
site_54.32_11.55,1989,Halicryptus spinulosus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Heteromastus filiformis,54.32,11.55,25.0,25.0,148.0,S0
site_54.32_11.55,1989,Mysella bidentata,54.32,11.55,25.0,25.0,33.0,S0
site_54.32_11.55,1989,Nephtys,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Nephtys hombergii,54.32,11.55,25.0,25.0,20.0,S0
site_54.32_11.55,1989,Pholoe,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1989,Polydora ciliata,54.32,11.55,25.0,25.0,185.0,S0
site_54.32_11.55,1989,Priapulus caudatus,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1990,Arctica islandica,54.32,11.55,25.0,25.0,29.0,S0
site_54.32_11.55,1990,Bylgides sarsi,54.32,11.55,25.0,25.0,3.0,S0
site_54.32_11.55,1990,Corbula gibba,54.32,11.55,25.0,25.0,47.0,S0
