//SDN_parameter_mapping
//<subject>SDN:LOCAL:Depth (ADEPZZ01_ULAA)</subject><object>SDN:P01::ADEPZZ01</object><units>SDN:P06::ULAA</units>
//<subject>SDN:LOCAL:Temperature (TEMPPR01_UPAA)</subject><object>SDN:P01::TEMPPR01</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:Salinity (PSALPR01_UUUU)</subject><object>SDN:P01::PSALPR01</object><units>SDN:P06::UUUU</units>
//
Cruise,Station,yyyy-mm-ddThh:mm:ss.sss,Latitude [degrees_north],Longitude [degrees_east],Device Category Code (L05):METAVAR:TEXT,Platform Code (C17):METAVAR:TEXT,Custodian Code (EDMO):METAVAR:TEXT,Originator Code (EDMO):METAVAR:TEXT,Distributor Code (EDMO):METAVAR:TEXT,Project Code (EDMERP):METAVAR:TEXT,Modified:METAVAR:TEXT,GUID:METAVAR:TEXT,Depth (ADEPZZ01_ULAA) [m],QV:ODV:Depth (ADEPZZ01_ULAA),Temperature (TEMPPR01_UPAA) [degC],QV:ODV:Temperature (TEMPPR01_UPAA),Salinity (PSALPR01_UUUU) [dmnless],QV:ODV:Salinity (PSALPR01_UUUU)
06EV,0003,1988-02-21T13:00Z,54.53,11.25,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,455AC480-B89A-E411-9411-00155D2CC432,0,0,4.0,0,,
06EV,0004,1988-02-21T15:00Z,54.43,11.72,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,465AC480-B89A-E411-9411-00155D2CC432,0,0,3.5,0,,
06EV,0005,1988-02-21T17:00Z,54.43,12.15,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,475AC480-B89A-E411-9411-00155D2CC432,0,0,3.5,0,,
06EV,0006,1988-02-21T19:00Z,54.62,12.37,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,485AC480-B89A-E411-9411-00155D2CC432,0,0,3.5,0,,
06EV,0007,1988-02-21T21:00Z,54.77,12.73,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,495AC480-B89A-E411-9411-00155D2CC432,0,0,3.2,0,,
06EV,0008,1988-02-21T23:00Z,54.87,13.00,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,4A5AC480-B89A-E411-9411-00155D2CC432,0,0,3.5,0,,
06EV,0009,1988-02-22T01:00Z,54.93,13.42,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,4B5AC480-B89A-E411-9411-00155D2CC432,0,0,4.0,0,,
06EV,0010,1988-02-22T03:00Z,54.93,13.83,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,4C5AC480-B89A-E411-9411-00155D2CC432,0,0,3.8,0,,
06EV,0017,1988-02-29T13:00Z,54.52,11.22,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,4F5AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0018,1988-02-29T15:00Z,54.42,11.73,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,505AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0019,1988-02-29T17:00Z,54.50,12.28,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,515AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0020,1988-02-29T19:00Z,54.72,12.58,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,525AC480-B89A-E411-9411-00155D2CC432,0,0,3.2,0,,
06EV,0021,1988-02-29T21:00Z,54.83,12.93,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,535AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0022,1988-02-29T23:00Z,54.90,13.25,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,545AC480-B89A-E411-9411-00155D2CC432,0,0,3.5,0,,
06EV,0023,1988-03-03T11:00Z,55.03,13.97,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,555AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0024,1988-03-03T13:00Z,54.97,13.73,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,565AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0025,1988-03-03T15:00Z,54.92,13.37,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,575AC480-B89A-E411-9411-00155D2CC432,0,0,3.2,0,,
06EV,0026,1988-03-03T17:00Z,54.88,13.07,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,585AC480-B89A-E411-9411-00155D2CC432,0,0,3.2,0,,
06EV,0027,1988-03-03T19:00Z,54.82,12.75,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,595AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0028,1988-03-03T21:00Z,54.72,12.47,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,5A5AC480-B89A-E411-9411-00155D2CC432,0,0,3.0,0,,
06EV,0029,1988-03-03T23:00Z,54.62,12.25,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,5B5AC480-B89A-E411-9411-00155D2CC432,0,0,2.7,0,,
06EV,0030,1988-03-04T01:00Z,54.45,12.05,ZS,06EV,1051,,1051,,2023-12-17T14:55:30,5C5AC480-B89A-E411-9411-00155D2CC432,0,0,2.5,0,,
