latitude,longitude,year,bot_depth,secchi_depth,depth,temperature,salinity,oxygen,phosphate,total_phosphorus,silicate,nitrate_nitrite,nitrate,nitrite,ammonium,total_nitrogen,hydrogen_sulphide,ph,total_alkalinity,chlorophyll_a,site
54.0,14.14,1996,10.0,4.5,6.666666666666667,16.470000000000002,6.867999999999999,6.683333333333333,0.20333333333333337,1.1233333333333333,15.5,4.28,0.06666666666666667,0.013333333333333334,0.19999999999999998,37.63333333333333,1.0,8.19,1.648,0.62,site_54.0_14.14
54.0,14.14,1997,10.0,1.8,4.0,18.240000000000002,7.339499999999999,2.8099999999999996,1.375,1.85,23.0,4.28,1.0,0.25,7.449999999999999,31.85,0.2,8.6,1.764,3.9,site_54.0_14.14
54.0,14.15,1997,10.333333333333334,3.9111111111111114,5.444444444444445,15.621111111111112,6.252888888888888,6.374444444444444,1.2044444444444444,1.4033333333333333,51.56666666666666,4.28,6.066666666666666,0.4788888888888889,3.1222222222222222,34.355555555555554,22.444444444444443,8.148888888888889,1.7188888888888887,2.082222222222222,site_54.0_14.15
54.0,14.2,1996,11.0,3.0,5.294317733333333,17.479499999999998,6.041666666666667,6.401666666666666,0.14166666666666666,0.9566666666666667,8.083333333333334,4.28,0.016666666666666666,0.006666666666666667,0.18333333333333335,25.316666666666666,28.700000000000003,8.366666666666667,1.7089999999999999,4.81,site_54.0_14.2
54.0,14.2,1997,12.0,4.4,6.266666666666667,8.709999999999999,7.903333333333333,7.38,0.6066666666666666,1.11,20.0,4.28,2.6333333333333333,0.28,0.20000000000000004,29.3,56.20000000000001,8.08,1.6529999999999998,1.6466666666666667,site_54.0_14.2
54.0,14.33,1981,11.0,4.0,4.5,16.2,7.177,4.595,0.69,1.79,21.950000000000003,4.28,1.3,0.19,16.55,21.5,3.0,8.24,1.771,4.5,site_54.0_14.33
54.0,14.33,1984,12.0,3.5,5.0,11.73,8.236,6.77,0.67,0.56,15.8,4.28,0.1,0.15,5.6,18.0,6.3,8.31,1.561,1.0,site_54.0_14.33
54.0,14.33,1989,11.0,2.1,4.5,12.344999999999999,7.374499999999999,8.185,0.425,0.9,15.8,4.28,0.1,0.15,5.6,26.0,0.0,8.7,1.544,3.18,site_54.0_14.33
54.0,14.33,1991,11.7,5.16,5.4,12.203,7.065099999999999,6.8260000000000005,0.43199999999999994,5.762,15.8,4.28,0.1,0.15,5.6,74.87,0.48,7.878,1.5901999999999998,2.25,site_54.0_14.33
54.0,14.33,2004,10.0,7.0,6.933333333333334,15.673333333333334,7.300000000000001,6.956666666666667,0.12333333333333334,0.8266666666666667,20.566666666666666,0.0,0.20000000000000004,0.0,0.10000000000000002,29.099999999999998,10.0,7.48,1.63,2.4,site_54.0_14.33
54.0,14.34,1993,11.0,8.5,4.666666666666667,13.72,7.406666666666666,6.9433333333333325,1.0,1.59,27.133333333333336,4.28,1.0999999999999999,0.13,0.6333333333333333,21.399999999999995,0.8000000000000002,7.78,2.267,1.2,site_54.0_14.34
54.0,14.34,1996,9.0,7.0,4.5,-0.39,7.6579999999999995,10.45,0.24,1.545,1.6,4.28,5.35,0.65,0.4,29.7,17.0,7.34,1.671,2.0,site_54.0_14.34
54.0,14.34,1997,10.9375,6.675,5.75,16.873125,6.8458125,6.0025,0.49000000000000005,0.8306250000000001,20.20625,4.28,0.80625,0.095625,0.55,26.375,11.4625,8.020624999999999,1.662875,1.825,site_54.0_14.34
54.0,14.44,1997,13.0,6.0,7.333333333333333,19.39,6.595666666666666,6.390000000000001,0.35333333333333333,0.71,25.166666666666668,4.28,0.06666666666666667,0.02,1.2,27.8,0.0,8.340000000000002,1.5,0.5,site_54.0_14.44
54.0,14.45,1997,13.0,6.5,7.333333333333333,19.566666666666666,6.7684999999999995,6.425,0.31166666666666665,0.725,26.683333333333334,4.28,0.16666666666666666,0.03,0.39999999999999997,26.066666666666666,28.600000000000005,8.229999999999999,1.748,2.4,site_54.0_14.45
54.0,14.53,1997,11.0,6.0,7.0,19.246666666666666,6.428666666666667,7.016666666666666,0.3166666666666667,0.71,28.46666666666667,4.28,0.06666666666666667,0.04666666666666666,0.3666666666666667,27.8,0.0,8.453333333333333,1.5,0.5,site_54.0_14.53
54.01,14.16,1997,10.0,6.0,5.0,19.585,5.007,6.300000000000001,1.295,1.29,64.3,4.28,7.7,0.495,3.5999999999999996,32.6,1.0,8.225,1.606,1.6,site_54.01_14.16
54.01,14.17,1996,10.0,4.5,6.666666666666667,16.52,6.804333333333333,7.1499999999999995,0.11666666666666665,0.9499999999999998,13.5,4.28,0.0,0.0,0.13333333333333333,32.699999999999996,1.0,8.19,1.648,0.62,site_54.01_14.17
54.01,14.18,1996,8.0,4.5,4.0,0.024999999999999994,7.2635000000000005,10.1,0.455,1.405,15.1,4.28,14.95,0.765,5.95,44.95,0.0,7.9,1.59,9.9,site_54.01_14.18
54.01,14.18,1997,10.5625,4.625,5.4375,17.175,6.127375,6.84625,0.239375,1.405,8.86875,4.28,3.9625000000000004,0.22562500000000002,1.0625,34.125,12.875,8.34875,1.686875,2.04625,site_54.01_14.18
54.01,14.2,1991,11.863636363636363,6.354545454545455,5.7727272727272725,9.646363636363636,6.453181818181818,7.515,0.7740909090909092,0.5754545454545454,18.431818181818183,4.28,9.422727272727274,0.28681818181818186,2.2045454545454546,22.613636363636363,2.0181818181818185,7.959545454545455,1.7146363636363637,1.9027272727272726,site_54.01_14.2
54.01,14.2,1992,11.869565217391305,6.060869565217391,6.391304347826087,9.004782608695653,7.031304347826087,8.534347826086956,0.668695652173913,0.8147826086956522,9.726086956521739,4.28,3.8000000000000003,0.47130434782608693,2.9217391304347826,28.269565217391307,1.452173913043478,8.208260869565217,1.7905652173913043,3.342608695652174,site_54.01_14.2
54.01,14.2,1993,11.869565217391305,5.634782608695652,6.173913043478261,8.369130434782608,7.141,7.745217391304347,0.9443478260869564,1.182608695652174,26.926086956521736,4.28,13.734782608695651,0.5960869565217392,3.0217391304347827,21.378260869565217,0.4043478260869566,8.156086956521738,1.742913043478261,1.2591304347826087,site_54.01_14.2
54.01,14.2,1994,10.71111111111111,6.955555555555556,5.140272586888889,10.68451111111111,7.0483111111111105,7.671333333333333,0.6486666666666666,1.0277777777777777,26.00222222222222,4.28,24.49111111111111,0.8446666666666667,0.6,22.45111111111111,18.91111111111111,8.195111111111112,2.0160666666666667,1.8800000000000001,site_54.01_14.2
54.01,14.2,1995,11.371681415929203,4.969911504424779,5.969128847876106,6.755805309734513,7.794743362831859,7.996902654867257,0.6878761061946903,1.2246902654867255,14.668141592920353,4.28,10.91858407079646,1.0191150442477876,0.4814159292035398,44.329203539823006,48.95752212389381,8.033097345132743,1.7881592920353981,1.5079646017699115,site_54.01_14.2
54.01,14.2,1996,10.916666666666666,5.866666666666667,6.033333333333334,6.581666666666666,6.8325,8.626666666666667,0.22916666666666666,1.5191666666666668,8.391666666666667,4.28,14.525,0.6025,2.8166666666666664,50.449999999999996,5.266666666666667,8.198333333333332,1.6581666666666666,3.09,site_54.01_14.2
54.01,14.2,1997,11.214285714285714,6.792857142857143,6.914285714285714,11.540714285714285,6.880857142857143,6.57,0.6321428571428571,1.8442857142857143,22.3,4.28,8.571428571428571,0.2564285714285714,1.7642857142857142,40.871428571428574,14.592857142857143,8.4,1.6717857142857144,1.4285714285714286,site_54.01_14.2
54.01,14.2,1998,12.0,3.6333333333333333,6.366666666666667,14.363333333333332,6.8965,6.746666666666666,0.42,1.155,22.8,4.28,1.7333333333333334,0.09999999999999999,1.0999999999999999,27.683333333333334,7.366666666666667,8.15,2.37,1.0,site_54.01_14.2
54.01,14.2,2000,12.0,6.246153846153846,6.153846153846154,10.987384615384615,7.7453076923076924,6.818461538461539,0.6846153846153846,1.4661538461538464,19.684615384615384,4.28,5.453846153846154,0.3830769230769231,1.7923076923076924,31.907692307692308,29.384615384615383,8.012307692307692,1.9007692307692308,6.200769230769231,site_54.01_14.2
54.01,14.2,2001,12.0,8.066666666666666,5.666666666666667,13.381777777777778,6.535444444444445,6.5744444444444445,0.5388888888888889,1.4944444444444445,18.522222222222226,4.28,6.555555555555555,0.22444444444444445,2.7333333333333334,41.02222222222222,31.622222222222224,8.101111111111111,1.962111111111111,4.38,site_54.01_14.2
54.01,14.2,2002,11.75,5.141666666666667,5.75,9.822666666666667,6.408666666666666,7.604166666666667,0.875,1.21,15.950000000000001,4.28,12.65,0.5441666666666667,2.6999999999999997,32.0,39.608333333333334,7.911666666666666,1.89,4.38,site_54.01_14.2
54.01,14.2,2003,11.6,7.38,5.48383526,8.828333333333335,6.443533333333334,8.095333333333334,0.776,1.21,19.60666666666667,4.28,1.4400000000000002,0.304,4.8,32.0,15.860000000000001,8.145333333333333,1.7574666666666665,4.38,site_54.01_14.2
54.01,14.2,2004,11.0,9.5,7.5,0.889,6.467499999999999,9.59,0.9400000000000001,1.21,46.1,4.71,27.45,1.0350000000000001,2.55,32.0,56.2,7.38,1.587,4.38,site_54.01_14.2
54.01,14.21,1995,14.142857142857142,11.0,5.995877178571428,10.583428571428572,6.6850000000000005,7.83,0.05642857142857143,0.44,4.385714285714285,4.28,14.928571428571429,0.33999999999999997,0.6428571428571429,5.5,56.2,8.17,1.613,1.1,site_54.01_14.21
54.01,14.21,2001,14.666666666666666,3.0,6.666666666666667,2.187333333333333,6.7876666666666665,9.22,0.04,1.5133333333333334,31.366666666666664,4.28,11.1,0.46,1.2666666666666666,52.43333333333334,56.20000000000001,8.3,2.2,0.9700000000000001,site_54.01_14.21
54.01,14.22,1997,10.0,5.5,5.5,0.3466666666666667,6.91,9.676666666666668,0.79,1.13,29.266666666666666,4.28,17.8,1.7033333333333331,1.8999999999999997,17.8,1.0,8.0,1.63,3.9,site_54.01_14.22
54.01,14.22,1998,11.0,7.25,5.583333333333333,5.8183333333333325,7.135000000000001,8.266666666666667,0.4116666666666667,1.0466666666666666,20.266666666666666,4.28,19.2,1.0416666666666667,1.9000000000000001,38.56666666666667,37.6,8.0,2.0100000000000002,1.05,site_54.01_14.22
54.01,14.22,2004,13.0,3.2999999999999994,5.0,2.3823333333333334,6.451666666666667,10.523333333333333,0.1366666666666667,0.7600000000000001,36.13333333333333,1.36,7.300000000000001,0.8466666666666667,0.5,52.5,56.20000000000001,8.0,1.6499999999999997,2.04,site_54.01_14.22
54.01,14.23,1997,9.666666666666666,2.8444444444444446,5.333333333333333,21.203333333333333,4.970000000000001,6.613333333333333,1.017777777777778,1.9099999999999997,53.93333333333333,4.28,2.2666666666666666,0.26,0.7666666666666666,31.27777777777778,31.666666666666668,8.211111111111112,1.7286666666666666,1.1333333333333333,site_54.01_14.23
54.01,14.23,1998,12.0,6.3090909090909095,1.4866043,10.863636363636363,5.945454545454546,8.33,0.7345454545454545,1.6036363636363637,29.163636363636364,4.28,24.372727272727275,0.5818181818181819,2.3363636363636364,57.78181818181818,9.30909090909091,8.209090909090909,1.8989090909090907,2.25,site_54.01_14.23
54.01,14.23,1999,11.166666666666666,6.141666666666667,1.4866043,11.674999999999999,6.1499999999999995,8.178333333333333,0.49583333333333335,1.4066666666666665,15.475,4.28,17.483333333333334,0.4991666666666667,1.5083333333333335,49.71666666666667,3.8333333333333335,8.183333333333334,1.8415,10.25,site_54.01_14.23
54.01,14.23,2000,11.0,5.127272727272727,1.4866043,10.245454545454546,6.845454545454545,7.878181818181818,0.9154545454545455,1.5754545454545452,30.69090909090909,4.28,26.872727272727275,0.4690909090909091,2.118181818181818,50.72727272727273,0.43636363636363634,8.063636363636364,1.889181818181818,7.454545454545454,site_54.01_14.23
54.01,14.23,2001,11.0,6.476923076923077,2.1345955846153846,9.55,6.956153846153847,8.29076923076923,0.6961538461538462,1.6730769230769231,26.584615384615386,4.28,16.76923076923077,0.6846153846153846,1.7307692307692308,45.96923076923077,15.0,8.315384615384614,1.8274615384615382,13.238461538461538,site_54.01_14.23
54.01,14.23,2002,11.0,7.581818181818182,1.4866043,11.581818181818182,5.6454545454545455,8.26,0.950909090909091,1.8236363636363635,19.62727272727273,4.28,7.972727272727273,0.6963636363636364,2.3272727272727276,33.77272727272727,1.781818181818182,8.225454545454546,1.7951818181818182,13.354545454545455,site_54.01_14.23
54.01,14.23,2004,11.0,6.072727272727272,1.4866043,11.054545454545455,6.945454545454546,7.738181818181818,0.5536363636363636,1.2445454545454546,22.472727272727273,6.372727272727272,7.027272727272727,0.34454545454545454,1.009090909090909,27.80909090909091,3.727272727272727,8.084545454545454,1.9964545454545453,4.5,site_54.01_14.23
