#--------------------------------------------------------------------------------,
CAST                        ,,        7406268,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-123844      ,,,
Originators Station ID      ,,EWVX           ,,,alpha,
Originators Cruise ID       ,,14             ,,,
Latitude                    ,,         11.767,decimal degrees,,
Longitude                   ,,         58.583,decimal degrees,,
Year                        ,,           1980,,,
Month                       ,,              3,,,
Day                         ,,             14,,,
Time                        ,,            6.0,decimal hours (UT),,
METADATA,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,       9700244.,NODC code,,
Platform                    ,,          6379.,OCL code,CHATYR-DAG (F/V; call sign EWVX; built 1971; IMO7102742)a,
Bottom depth                ,,          4400.,meters,,
Wave Height                 ,,             5.,WMO code 1555,2.5 METER,
Wind Direction              ,,             6.,WMO code 0877,55 DEGREES - 64 DEGREES,
Wind speed                  ,,             7.,knots,,
Barometric pressure         ,,         1017.8,millibars,,
Air temperature (dry bulb)  ,,          25.80,degrees Celsius,,
Air temperature (wet bulb)  ,,          23.70,degrees Celsius,,
Cloud cover                 ,,             3.,WMO code 2700,3 OKTAS     4/10,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      26.4,0, ,
         2,        5.,0, ,      26.4,0, ,
         3,       10.,0, ,      26.4,0, ,
         4,       15.,0, ,      26.4,0, ,
         5,       20.,0, ,      26.3,0, ,
         6,       25.,0, ,      26.3,0, ,
         7,       30.,0, ,      26.3,0, ,
         8,       35.,0, ,      26.3,0, ,
         9,       40.,0, ,      26.1,0, ,
        10,       45.,0, ,      25.6,0, ,
        11,       50.,0, ,      25.3,0, ,
        12,       55.,0, ,      25.2,0, ,
        13,       60.,0, ,      25.1,0, ,
        14,       65.,0, ,      25.0,0, ,
        15,       70.,0, ,      25.0,0, ,
        16,       75.,0, ,      25.1,0, ,
        17,       80.,0, ,      24.6,0, ,
        18,       85.,0, ,      24.0,0, ,
        19,       90.,0, ,      23.7,0, ,
        20,       95.,0, ,      23.3,0, ,
        21,      100.,0, ,      22.7,0, ,
        22,      125.,0, ,      19.5,0, ,
        23,      150.,0, ,      17.9,0, ,
        24,      175.,0, ,      15.7,0, ,
        25,      200.,0, ,      15.0,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        7406279,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-123844      ,,,
Originators Station ID      ,,EWVX           ,,,alpha,
Originators Cruise ID       ,,14             ,,,
Latitude                    ,,         11.200,decimal degrees,,
Longitude                   ,,         58.783,decimal degrees,,
Year                        ,,           1980,,,
Month                       ,,              3,,,
Day                         ,,             16,,,
Time                        ,,            6.0,decimal hours (UT),,
METADATA,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,       9700244.,NODC code,,
Platform                    ,,          6379.,OCL code,CHATYR-DAG (F/V; call sign EWVX; built 1971; IMO7102742)a,
Bottom depth                ,,          4100.,meters,,
Wave Height                 ,,             3.,WMO code 1555,1.5 METER,
Wind Direction              ,,             7.,WMO code 0877,65 DEGREES - 74 DEGREES,
Wind speed                  ,,             5.,knots,,
Barometric pressure         ,,         1018.3,millibars,,
Air temperature (dry bulb)  ,,          27.40,degrees Celsius,,
Air temperature (wet bulb)  ,,          24.20,degrees Celsius,,
Cloud cover                 ,,             5.,WMO code 2700,5 OKTAS     6/10,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      27.3,0, ,
         2,        5.,0, ,      27.3,0, ,
         3,       10.,0, ,      27.3,0, ,
         4,       15.,0, ,      27.2,0, ,
         5,       20.,0, ,      26.7,0, ,
         6,       25.,0, ,      26.7,0, ,
         7,       30.,0, ,      26.7,0, ,
         8,       35.,0, ,      26.6,0, ,
         9,       40.,0, ,      26.6,0, ,
        10,       45.,0, ,      26.6,0, ,
        11,       50.,0, ,      26.5,0, ,
        12,       55.,0, ,      25.9,0, ,
        13,       60.,0, ,      25.6,0, ,
        14,       65.,0, ,      25.6,0, ,
        15,       70.,0, ,      25.5,0, ,
        16,       75.,0, ,      25.3,0, ,
        17,       80.,0, ,      25.2,0, ,
        18,       85.,0, ,      24.7,0, ,
        19,       90.,0, ,      24.0,0, ,
        20,       95.,0, ,      23.3,0, ,
        21,      100.,0, ,      22.5,0, ,
        22,      125.,0, ,      20.4,0, ,
        23,      150.,0, ,      18.6,0, ,
        24,      175.,0, ,      17.5,0, ,
        25,      200.,0, ,      15.3,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        7927081,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-126643      ,,,
Originators Station ID      ,,           9400,,,integer,
Originators Cruise ID       ,,15             ,,,
