id,datasetid,datecollected,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,scientificname,aphiaid,scientificnameaccepted,modified,institutioncode,collectioncode,yearcollected,startyearcollected,endyearcollected,monthcollected,startmonthcollected,endmonthcollected,daycollected,startdaycollected,enddaycollected,seasoncollected,timeofday,starttimeofday,endtimeofday,timezone,waterbody,country,stateprovince,county,recordnumber,fieldnumber,startdecimallongitude,enddecimallongitude,startdecimallatitude,enddecimallatitude,georeferenceprotocol,minimumdepthinmeters,maximumdepthinmeters,occurrenceid,scientificnameauthorship,scientificnameid,rankname,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,aphiaidaccepted,occurrenceremarks,basisofrecord,typestatus,catalognumber,references,recordedby,identifiedby,yearidentified,monthidentified,dayidentified,preparations,samplingeffort,samplingprotocol,qc,eventid,datageneralizations,eventremarks,locationremarks,associatedsequences,associatedmedia,organismid,geodeticdatum,dynamicproperties,identificationverificationstatus,identificationreferences,organismquantity,organismquantitytype,samplesizevalue,samplesizeunit,materialsampleid,taxonconceptid,dnaderived,verbatimidentification,higherclassification,taxonid,"AreaBedSamp (m^2)","Count (Dmnless)"
30527523,https://marineinfo.org/id/dataset/601,2000-10-25T00:00:00,54.32,11.55,,"Trochochaeta multisetosa",http://marinespecies.org/aphia.php?p=taxdetails&id=131576,"Trochochaeta multisetosa",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2000,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494590_urn:lsid:marinespecies.org:taxname:131576,"(Örsted, 1844)",urn:lsid:marinespecies.org:taxname:131576,Species,Animalia,Annelida,Polychaeta,Spionida,Trochochaetidae,Trochochaeta,,multisetosa,,http://marinespecies.org/aphia.php?p=taxdetails&id=131576,,MaterialSample,,494590_urn:lsid:marinespecies.org:taxname:131576,,,,,,,,,,30,ze3_2000-10-25_54.32_25_29236,,,,,,,,,,,,,,,,,false,,,,0.3,142
30527524,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Metridium senile",http://marinespecies.org/aphia.php?p=taxdetails&id=100982,"Metridium senile",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494591_urn:lsid:marinespecies.org:taxname:100982,"(Linnaeus, 1761)",urn:lsid:marinespecies.org:taxname:100982,Species,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,,senile,,http://marinespecies.org/aphia.php?p=taxdetails&id=100982,,MaterialSample,,494591_urn:lsid:marinespecies.org:taxname:100982,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29237,,,,,,,,,,,,,,,,,false,,,,0.3,1
30527525,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Abra alba",http://marinespecies.org/aphia.php?p=taxdetails&id=141433,"Abra alba",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494592_urn:lsid:marinespecies.org:taxname:141433,"(W. Wood, 1802)",urn:lsid:marinespecies.org:taxname:141433,Species,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,alba,,http://marinespecies.org/aphia.php?p=taxdetails&id=141433,,MaterialSample,,494592_urn:lsid:marinespecies.org:taxname:141433,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29238,,,,,,,,,,,,,,,,,false,,,,0.3,1016
30527526,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Arctica islandica",http://marinespecies.org/aphia.php?p=taxdetails&id=138802,"Arctica islandica",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494593_urn:lsid:marinespecies.org:taxname:138802,"(Linnaeus, 1767)",urn:lsid:marinespecies.org:taxname:138802,Species,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,,islandica,,http://marinespecies.org/aphia.php?p=taxdetails&id=138802,,MaterialSample,,494593_urn:lsid:marinespecies.org:taxname:138802,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29239,,,,,,,,,,,,,,,,,false,,,,0.3,119
30527527,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Corbula gibba",http://marinespecies.org/aphia.php?p=taxdetails&id=139410,"Corbula gibba",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494594_urn:lsid:marinespecies.org:taxname:139410,"(Olivi, 1792)",urn:lsid:marinespecies.org:taxname:139410,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula,,gibba,,http://marinespecies.org/aphia.php?p=taxdetails&id=378492,,MaterialSample,,494594_urn:lsid:marinespecies.org:taxname:139410,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29240,,,,,,,,,,,,,,,,,false,,,,0.3,6
30527528,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Mysella bidentata",http://marinespecies.org/aphia.php?p=taxdetails&id=140380,"Mysella bidentata",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494595_urn:lsid:marinespecies.org:taxname:140380,"(Montagu, 1803)",urn:lsid:marinespecies.org:taxname:140380,Species,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Mysella,,bidentata,,http://marinespecies.org/aphia.php?p=taxdetails&id=345281,,MaterialSample,,494595_urn:lsid:marinespecies.org:taxname:140380,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29241,,,,,,,,,,,,,,,,,false,,,,0.3,22
30527529,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Parvicardium ovale",http://marinespecies.org/aphia.php?p=taxdetails&id=139011,"Parvicardium ovale",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494596_urn:lsid:marinespecies.org:taxname:139011,"(G. B. Sowerby II, 1840)",urn:lsid:marinespecies.org:taxname:139011,Species,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Parvicardium,,ovale,,http://marinespecies.org/aphia.php?p=taxdetails&id=138999,,MaterialSample,,494596_urn:lsid:marinespecies.org:taxname:139011,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29242,,,,,,,,,,,,,,,,,false,,,,0.3,3
30527530,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Electra crustulenta",http://marinespecies.org/aphia.php?p=taxdetails&id=111353,"Electra crustulenta",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494597_urn:lsid:marinespecies.org:taxname:111353,"(Pallas, 1766)",urn:lsid:marinespecies.org:taxname:111353,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,,crustulenta,,http://marinespecies.org/aphia.php?p=taxdetails&id=467577,,MaterialSample,,494597_urn:lsid:marinespecies.org:taxname:111353,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29243,,,,,,,,,,,,,,,,,false,,,,0.3,1
30527531,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Eucratea loricata",http://marinespecies.org/aphia.php?p=taxdetails&id=111361,"Eucratea loricata",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494598_urn:lsid:marinespecies.org:taxname:111361,"(Linnaeus, 1758)",urn:lsid:marinespecies.org:taxname:111361,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Eucrateidae,Eucratea,,loricata,,http://marinespecies.org/aphia.php?p=taxdetails&id=111361,,MaterialSample,,494598_urn:lsid:marinespecies.org:taxname:111361,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29244,,,,,,,,,,,,,,,,,false,,,,0.3,1
30527532,https://marineinfo.org/id/dataset/601,2001-10-25T00:00:00,54.32,11.55,,"Diastylis rathkei",http://marinespecies.org/aphia.php?p=taxdetails&id=110487,"Diastylis rathkei",2021-07-06T10:44:36.62,"Baltic Sea Research Institute Warnemünde","Macrozoobenthos baltic sea",2001,,,10,,,25,,,autumn,,,,,,,,,,,,,,,,25,25,494599_urn:lsid:marinespecies.org:taxname:110487,"(Krøyer, 1841)",urn:lsid:marinespecies.org:taxname:110487,Species,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,rathkei,,http://marinespecies.org/aphia.php?p=taxdetails&id=110487,,MaterialSample,,494599_urn:lsid:marinespecies.org:taxname:110487,,,,,,,,,,30,ze3_2001-10-25_54.32_25_29245,,,,,,,,,,,,,,,,,false,,,,0.3,318
