site_year,latitude,longitude
0_1994,54.32,11.55
0_1995,54.32,11.55
0_1997,54.32,11.55
0_1998,54.32,11.55
0_1999,54.32,11.55
0_2000,54.32,11.55
0_2001,54.32,11.55
0_2002,54.32,11.55
0_2003,54.32,11.55
0_2004,54.32,11.55
1_1994,54.63,14.28
1_1995,54.63,14.28
1_1998,54.63,14.28
1_1999,54.63,14.28
1_2001,54.63,14.28
1_2002,54.63,14.28
1_2003,54.63,14.28
2_1994,55.0,14.08
2_1995,55.0,14.08
2_1997,55.0,14.08
2_1998,55.0,14.08
2_2000,55.0,14.08
2_2001,55.0,14.08
2_2002,55.0,14.08
2_2003,55.0,14.08
2_2004,55.0,14.08
