,site,MMDDYYY,scientificnameaccepted,Count (Dmnless)
0,site_54.03_11.37,10-27-1993,Ampharete baltica,272
1,site_54.03_11.37,4-19-1994,Ampharete baltica,235
2,site_54.03_11.37,10-27-1993,Ampithoe rubricata,51
3,site_54.03_11.37,10-27-1993,Arctica islandica,5
4,site_54.03_11.37,4-19-1994,Aricidea cerrutii,14
5,site_54.03_11.37,4-19-1994,Astarte borealis,3
6,site_54.03_11.37,10-29-1992,Bylgides sarsi,3
7,site_54.03_11.37,10-27-1993,Bylgides sarsi,17
8,site_54.03_11.37,4-19-1994,Bylgides sarsi,3
9,site_54.03_11.37,10-29-1992,Capitella capitata,340
10,site_54.03_11.37,10-27-1993,Capitella capitata,17
11,site_54.03_11.37,10-27-1993,Cerastoderma glaucum,17
12,site_54.03_11.37,4-19-1994,Cerastoderma glaucum,17
13,site_54.03_11.37,4-19-1994,Corophium crassicorne,7
14,site_54.03_11.37,10-29-1992,Crangon crangon,3
15,site_54.03_11.37,10-27-1993,Diastylis rathkei,5
16,site_54.03_11.37,10-27-1993,Eteone longa,7
17,site_54.03_11.37,10-27-1993,Gammarus salinus,3
18,site_54.03_11.37,4-19-1994,Gastrosaccus spinifer,3
19,site_54.03_11.37,10-29-1992,Halicryptus spinulosus,3
20,site_54.03_11.37,10-27-1993,Halicryptus spinulosus,17
21,site_54.03_11.37,4-19-1994,Halicryptus spinulosus,20
22,site_54.03_11.37,4-19-1994,Harmothoe imbricata,3
23,site_54.03_11.37,4-19-1994,Hartlaubella gelatinosa,1
24,site_54.03_11.37,10-29-1992,Hediste diversicolor,10
25,site_54.03_11.37,10-27-1993,Hediste diversicolor,20
26,site_54.03_11.37,4-19-1994,Hediste diversicolor,61
27,site_54.03_11.37,10-27-1993,Heteromastus filiformis,41
28,site_54.03_11.37,4-19-1994,Heteromastus filiformis,218
29,site_54.03_11.37,10-29-1992,Hydrobia ulvae,3330
30,site_54.03_11.37,10-27-1993,Hydrobia ulvae,1150
31,site_54.03_11.37,4-19-1994,Hydrobia ulvae,2262
32,site_54.03_11.37,10-28-1993,Idotea balthica,7
33,site_54.03_11.37,10-27-1993,Lagis koreni,10
34,site_54.03_11.37,10-29-1992,Macoma balthica,3
35,site_54.03_11.37,10-27-1993,Macoma balthica,129
36,site_54.03_11.37,4-19-1994,Macoma balthica,177
37,site_54.03_11.37,10-27-1993,Mya arenaria,3
38,site_54.03_11.37,4-19-1994,Mya arenaria,99
39,site_54.03_11.37,10-29-1992,Mytilus edulis,48
40,site_54.03_11.37,10-27-1993,Mytilus edulis,963
41,site_54.03_11.37,4-19-1994,Mytilus edulis,1578
42,site_54.03_11.37,4-19-1994,Neanthes virens,7
43,site_54.03_11.37,10-27-1993,Nemertina,3
44,site_54.03_11.37,10-29-1992,Nephtys hombergii,3
45,site_54.03_11.37,10-27-1993,Nephtys hombergii,3
46,site_54.03_11.37,4-19-1994,Nephtys hombergii,20
47,site_54.03_11.37,10-29-1992,Oligochaeta,85
48,site_54.03_11.37,4-19-1994,Onoba semicostata,7
49,site_54.03_11.37,10-29-1992,Polydora,718
50,site_54.03_11.37,10-27-1993,Polydora,143
51,site_54.03_11.37,4-19-1994,Polydora (Polydora) quadrilobata,122
52,site_54.03_11.37,4-19-1994,Polydora ciliata,10
53,site_54.03_11.37,4-19-1994,Polydora cornuta,17
54,site_54.03_11.37,10-27-1993,Pygospio elegans,1099
55,site_54.03_11.37,4-19-1994,Pygospio elegans,932
56,site_54.03_11.37,4-19-1994,Retusa obtusa,3
57,site_54.03_11.37,10-27-1993,Retusa truncatula,3
58,site_54.03_11.37,4-19-1994,Retusa truncatula,3
59,site_54.03_11.37,10-27-1993,Scoloplos armiger,789
60,site_54.03_11.37,4-19-1994,Scoloplos armiger,391
61,site_54.03_11.37,10-27-1993,Terebellides stroemii,10
62,site_54.03_11.37,4-19-1994,Tubificoides benedeni,3
63,site_54.06_11.06,8-2-1980,Asterias rubens,12
64,site_54.06_11.06,8-2-1980,Bylgides sarsi,126
65,site_54.06_11.06,8-2-1980,Capitella capitata,744
66,site_54.06_11.06,8-2-1980,Dendrodoa grossularia,15
67,site_54.06_11.06,8-2-1980,Diastylis rathkei,9
68,site_54.06_11.06,8-2-1980,Eucratea loricata,1
69,site_54.06_11.06,8-2-1980,Halicryptus spinulosus,15
70,site_54.06_11.06,8-2-1980,Macoma balthica,6
71,site_54.06_11.06,8-2-1980,Mytilus edulis,6
72,site_54.06_11.06,8-2-1980,Polydora ciliata,21
73,site_54.06_11.06,8-2-1980,Spio filicornis,3
74,site_54.11_11.18,10-27-1995,Ampithoe rubricata,3
75,site_54.11_11.18,10-27-1993,Arctica islandica,208
76,site_54.11_11.18,4-19-1994,Arctica islandica,267
77,site_54.11_11.18,10-27-1994,Arctica islandica,60
78,site_54.11_11.18,10-27-1995,Arctica islandica,75
79,site_54.11_11.18,10-27-1994,Bathyporeia pilosa,3
80,site_54.11_11.18,4-19-1994,Bylgides sarsi,19
81,site_54.11_11.18,4-19-1994,Capitella capitata,3
82,site_54.11_11.18,10-27-1993,Corophium volutator,3
83,site_54.11_11.18,10-27-1994,Corophium volutator,3
84,site_54.11_11.18,10-27-1993,Diastylis rathkei,13
85,site_54.11_11.18,4-19-1994,Diastylis rathkei,19
86,site_54.11_11.18,10-27-1993,Gastrosaccus spinifer,6
87,site_54.11_11.18,10-28-1992,Halicryptus spinulosus,9
88,site_54.11_11.18,10-27-1993,Halicryptus spinulosus,6
89,site_54.11_11.18,4-19-1994,Halicryptus spinulosus,107
90,site_54.11_11.18,10-27-1994,Halicryptus spinulosus,28
91,site_54.11_11.18,10-27-1993,Hediste diversicolor,3
92,site_54.11_11.18,4-19-1994,Heteromastus filiformis,3
93,site_54.11_11.18,10-27-1993,Hydrobia ulvae,261
94,site_54.11_11.18,10-27-1993,Macoma balthica,16
95,site_54.11_11.18,10-27-1995,Mytilus edulis,3
96,site_54.11_11.18,10-27-1993,Nephtys hombergii,3
97,site_54.11_11.18,4-19-1994,Nephtys hombergii,3
98,site_54.11_11.18,10-27-1993,Oligochaeta,3
99,site_54.11_11.18,10-27-1995,Phyllodoce (Anaitides) maculata,3
100,site_54.11_11.18,4-19-1994,Phyllodoce (Anaitides) mucosa,9
101,site_54.11_11.18,10-28-1992,Polydora,41
102,site_54.11_11.18,10-27-1993,Polydora,50
103,site_54.11_11.18,4-19-1994,Polydora ciliata,472
104,site_54.11_11.18,10-27-1994,Polydora ciliata,6
105,site_54.11_11.18,10-27-1995,Polydora ciliata,280
106,site_54.18_11.75,8-5-1994,Abra alba,91
107,site_54.18_11.75,9-24-1996,Abra alba,16
108,site_54.18_11.75,3-11-1997,Abra alba,43
109,site_54.18_11.75,7-22-1997,Abra alba,280
110,site_54.18_11.75,11-7-1997,Abra alba,1113
111,site_54.18_11.75,3-11-1998,Abra alba,668
112,site_54.18_11.75,7-23-1998,Abra alba,647
113,site_54.18_11.75,11-3-1998,Abra alba,215
114,site_54.18_11.75,2-12-1999,Abra alba,701
115,site_54.18_11.75,3-16-1999,Abra alba,283
116,site_54.18_11.75,8-4-1999,Abra alba,134
117,site_54.18_11.75,11-16-1999,Abra alba,9
118,site_54.18_11.75,2-18-2000,Abra alba,7
119,site_54.18_11.75,4-12-2000,Abra alba,3
120,site_54.18_11.75,8-30-2000,Abra alba,2235
121,site_54.18_11.75,10-25-2000,Abra alba,3
122,site_54.18_11.75,6-28-2001,Abra alba,61
123,site_54.18_11.75,10-26-2001,Abra alba,306
124,site_54.18_11.75,2-5-2002,Abra alba,255
125,site_54.18_11.75,10-14-2003,Abra alba,2878
126,site_54.18_11.75,2-13-2004,Abra alba,2799
127,site_54.18_11.75,8-21-2004,Abra alba,881
128,site_54.18_11.75,10-30-2004,Abra alba,3
129,site_54.18_11.75,2-8-2005,Abra alba,1
130,site_54.18_11.75,2-12-1999,Alcyonidium polyoum,1
131,site_54.18_11.75,8-30-2000,Alcyonidium polyoum,2
132,site_54.18_11.75,8-4-1999,Ampharete acutifrons,3
133,site_54.18_11.75,8-30-2000,Ampharete acutifrons,10
134,site_54.18_11.75,6-28-2001,Ampharete acutifrons,7
135,site_54.18_11.75,10-30-2004,Ampharete acutifrons,3
136,site_54.18_11.75,3-11-1997,Ampharete baltica,12
137,site_54.18_11.75,7-22-1997,Ampharete baltica,3
138,site_54.18_11.75,11-7-1997,Ampharete baltica,40
139,site_54.18_11.75,3-11-1998,Ampharete baltica,3
140,site_54.18_11.75,11-3-1998,Ampharete baltica,6
141,site_54.18_11.75,2-12-1999,Ampharete baltica,10
142,site_54.18_11.75,3-16-1999,Ampharete baltica,34
143,site_54.18_11.75,8-4-1999,Ampharete baltica,96
144,site_54.18_11.75,11-16-1999,Ampharete baltica,112
145,site_54.18_11.75,2-18-2000,Ampharete baltica,24
146,site_54.18_11.75,8-30-2000,Ampharete baltica,7
147,site_54.18_11.75,10-25-2000,Ampharete baltica,3
148,site_54.18_11.75,6-28-2001,Ampharete baltica,1
149,site_54.18_11.75,2-5-2002,Ampharete baltica,3
150,site_54.18_11.75,8-21-2004,Ampharete baltica,3
151,site_54.18_11.75,10-30-2004,Ampharete baltica,31
152,site_54.18_11.75,2-8-2005,Ampharete baltica,7
153,site_54.18_11.75,2-18-2000,Ampithoe rubricata,1
154,site_54.18_11.75,8-30-2000,Ampithoe rubricata,1
155,site_54.18_11.75,2-5-2002,Ampithoe rubricata,1
156,site_54.18_11.75,10-30-2004,Ampithoe rubricata,1
157,site_54.18_11.75,8-5-1994,Arctica islandica,26
158,site_54.18_11.75,10-4-1995,Arctica islandica,31
159,site_54.18_11.75,5-15-1996,Arctica islandica,9
160,site_54.18_11.75,6-26-1996,Arctica islandica,25
161,site_54.18_11.75,9-24-1996,Arctica islandica,9
162,site_54.18_11.75,3-11-1997,Arctica islandica,15
163,site_54.18_11.75,7-22-1997,Arctica islandica,25
164,site_54.18_11.75,11-7-1997,Arctica islandica,12
165,site_54.18_11.75,3-11-1998,Arctica islandica,12
166,site_54.18_11.75,7-23-1998,Arctica islandica,3
167,site_54.18_11.75,11-3-1998,Arctica islandica,47
168,site_54.18_11.75,2-12-1999,Arctica islandica,116
169,site_54.18_11.75,3-16-1999,Arctica islandica,9
170,site_54.18_11.75,8-4-1999,Arctica islandica,34
171,site_54.18_11.75,11-16-1999,Arctica islandica,9
172,site_54.18_11.75,2-18-2000,Arctica islandica,105
173,site_54.18_11.75,4-12-2000,Arctica islandica,16
174,site_54.18_11.75,8-30-2000,Arctica islandica,85
175,site_54.18_11.75,10-25-2000,Arctica islandica,99
176,site_54.18_11.75,3-27-2001,Arctica islandica,160
177,site_54.18_11.75,6-28-2001,Arctica islandica,105
178,site_54.18_11.75,10-26-2001,Arctica islandica,129
179,site_54.18_11.75,2-5-2002,Arctica islandica,116
180,site_54.18_11.75,2-14-2003,Arctica islandica,78
181,site_54.18_11.75,10-14-2003,Arctica islandica,122
182,site_54.18_11.75,2-13-2004,Arctica islandica,92
183,site_54.18_11.75,8-21-2004,Arctica islandica,177
184,site_54.18_11.75,10-30-2004,Arctica islandica,146
185,site_54.18_11.75,2-8-2005,Arctica islandica,75
186,site_54.18_11.75,8-5-1994,Arenicola marina,13
187,site_54.18_11.75,7-23-1998,Arenicola marina,9
188,site_54.18_11.75,10-26-2001,Arenicola marina,1
189,site_54.18_11.75,2-12-1999,Aricidea cerrutii,7
190,site_54.18_11.75,6-26-1996,Aricidea suecica,6
191,site_54.18_11.75,11-7-1997,Aricidea suecica,3
192,site_54.18_11.75,3-11-1998,Aricidea suecica,6
193,site_54.18_11.75,8-4-1999,Aricidea suecica,3
194,site_54.18_11.75,4-12-2000,Aricidea suecica,6
195,site_54.18_11.75,8-30-2000,Aricidea suecica,14
196,site_54.18_11.75,10-25-2000,Aricidea suecica,3
197,site_54.18_11.75,10-26-2001,Aricidea suecica,1
198,site_54.18_11.75,2-5-2002,Aricidea suecica,3
199,site_54.18_11.75,6-26-1996,Astarte borealis,12
200,site_54.18_11.75,9-24-1996,Astarte borealis,3
201,site_54.18_11.75,3-11-1998,Astarte borealis,9
202,site_54.18_11.75,11-3-1998,Astarte borealis,3
203,site_54.18_11.75,2-12-1999,Astarte borealis,14
204,site_54.18_11.75,8-4-1999,Astarte borealis,12
205,site_54.18_11.75,2-18-2000,Astarte borealis,1
206,site_54.18_11.75,4-12-2000,Astarte borealis,3
207,site_54.18_11.75,8-30-2000,Astarte borealis,17
208,site_54.18_11.75,10-25-2000,Astarte borealis,17
209,site_54.18_11.75,3-27-2001,Astarte borealis,14
210,site_54.18_11.75,6-28-2001,Astarte borealis,10
211,site_54.18_11.75,10-26-2001,Astarte borealis,3
212,site_54.18_11.75,2-5-2002,Astarte borealis,10
213,site_54.18_11.75,2-14-2003,Astarte borealis,1
214,site_54.18_11.75,10-14-2003,Astarte borealis,31
215,site_54.18_11.75,2-13-2004,Astarte borealis,3
216,site_54.18_11.75,8-21-2004,Astarte borealis,3
217,site_54.18_11.75,10-30-2004,Astarte borealis,1
218,site_54.18_11.75,2-8-2005,Astarte borealis,1
219,site_54.18_11.75,10-4-1995,Astarte elliptica,31
220,site_54.18_11.75,11-3-1998,Astarte elliptica,3
221,site_54.18_11.75,2-18-2000,Astarte elliptica,1
222,site_54.18_11.75,8-30-2000,Astarte elliptica,1
223,site_54.18_11.75,10-25-2000,Astarte elliptica,1
224,site_54.18_11.75,2-5-2002,Astarte elliptica,1
225,site_54.18_11.75,10-30-2004,Astarte elliptica,1
226,site_54.18_11.75,8-5-1994,Asterias rubens,13
227,site_54.18_11.75,9-24-1996,Asterias rubens,3
228,site_54.18_11.75,3-11-1998,Asterias rubens,3
229,site_54.18_11.75,2-12-1999,Asterias rubens,3
230,site_54.18_11.75,2-18-2000,Asterias rubens,1
231,site_54.18_11.75,8-30-2000,Asterias rubens,1
232,site_54.18_11.75,10-25-2000,Asterias rubens,1
233,site_54.18_11.75,3-27-2001,Asterias rubens,3
234,site_54.18_11.75,6-28-2001,Asterias rubens,1
235,site_54.18_11.75,10-26-2001,Asterias rubens,3
236,site_54.18_11.75,2-5-2002,Asterias rubens,7
237,site_54.18_11.75,2-14-2003,Asterias rubens,3
238,site_54.18_11.75,10-14-2003,Asterias rubens,1
239,site_54.18_11.75,2-13-2004,Asterias rubens,1
240,site_54.18_11.75,8-21-2004,Asterias rubens,1
241,site_54.18_11.75,10-30-2004,Asterias rubens,1
242,site_54.18_11.75,2-8-2005,Asterias rubens,1
243,site_54.18_11.75,2-14-2003,Balanus crenatus,1
244,site_54.18_11.75,10-30-2004,Balanus crenatus,1
245,site_54.18_11.75,3-11-1998,Bathyporeia pilosa,3
246,site_54.18_11.75,2-18-2000,Bathyporeia pilosa,1
247,site_54.18_11.75,10-14-2003,Bougainvillia ramosa,1
248,site_54.18_11.75,10-26-2001,Bowerbankia gracilis,1
249,site_54.18_11.75,8-5-1994,Bylgides sarsi,65
250,site_54.18_11.75,10-4-1995,Bylgides sarsi,6
251,site_54.18_11.75,5-15-1996,Bylgides sarsi,90
252,site_54.18_11.75,6-26-1996,Bylgides sarsi,93
253,site_54.18_11.75,9-24-1996,Bylgides sarsi,37
254,site_54.18_11.75,3-11-1997,Bylgides sarsi,22
255,site_54.18_11.75,7-22-1997,Bylgides sarsi,121
256,site_54.18_11.75,11-7-1997,Bylgides sarsi,12
257,site_54.18_11.75,3-11-1998,Bylgides sarsi,31
258,site_54.18_11.75,7-23-1998,Bylgides sarsi,100
259,site_54.18_11.75,11-3-1998,Bylgides sarsi,16
260,site_54.18_11.75,2-12-1999,Bylgides sarsi,14
261,site_54.18_11.75,3-16-1999,Bylgides sarsi,16
262,site_54.18_11.75,8-4-1999,Bylgides sarsi,93
263,site_54.18_11.75,11-16-1999,Bylgides sarsi,22
264,site_54.18_11.75,2-18-2000,Bylgides sarsi,3
265,site_54.18_11.75,4-12-2000,Bylgides sarsi,37
266,site_54.18_11.75,8-30-2000,Bylgides sarsi,31
267,site_54.18_11.75,10-25-2000,Bylgides sarsi,7
268,site_54.18_11.75,3-27-2001,Bylgides sarsi,3
269,site_54.18_11.75,6-28-2001,Bylgides sarsi,61
270,site_54.18_11.75,10-26-2001,Bylgides sarsi,34
271,site_54.18_11.75,2-5-2002,Bylgides sarsi,24
272,site_54.18_11.75,2-14-2003,Bylgides sarsi,1
273,site_54.18_11.75,10-14-2003,Bylgides sarsi,41
274,site_54.18_11.75,2-13-2004,Bylgides sarsi,20
275,site_54.18_11.75,8-21-2004,Bylgides sarsi,78
276,site_54.18_11.75,10-30-2004,Bylgides sarsi,31
277,site_54.18_11.75,2-8-2005,Bylgides sarsi,17
278,site_54.18_11.75,2-12-1999,Callopora lineata,1
279,site_54.18_11.75,6-28-2001,Callopora lineata,1
280,site_54.18_11.75,10-26-2001,Callopora lineata,1
281,site_54.18_11.75,2-5-2002,Callopora lineata,1
282,site_54.18_11.75,8-21-2004,Callopora lineata,1
283,site_54.18_11.75,10-30-2004,Callopora lineata,1
284,site_54.18_11.75,8-5-1994,Capitella capitata,52
285,site_54.18_11.75,10-4-1995,Capitella capitata,6
286,site_54.18_11.75,5-15-1996,Capitella capitata,9
287,site_54.18_11.75,6-26-1996,Capitella capitata,6
288,site_54.18_11.75,2-18-2000,Capitella capitata,3
289,site_54.18_11.75,8-30-2000,Capitella capitata,1
290,site_54.18_11.75,10-25-2000,Capitella capitata,7
291,site_54.18_11.75,10-14-2003,Capitella capitata,1
292,site_54.18_11.75,8-21-2004,Capitella capitata,3
293,site_54.18_11.75,10-30-2004,Capitella capitata,1
294,site_54.18_11.75,10-30-2004,Carcinus maenas,1
295,site_54.18_11.75,2-12-1999,Cephalothrix,3
296,site_54.18_11.75,8-5-1994,Cerastoderma glaucum,26
297,site_54.18_11.75,8-30-2000,Clytia hemisphaerica,1
298,site_54.18_11.75,10-4-1995,Corbula gibba,3
299,site_54.18_11.75,5-15-1996,Corbula gibba,6
300,site_54.18_11.75,6-26-1996,Corbula gibba,3
301,site_54.18_11.75,9-24-1996,Corbula gibba,3
302,site_54.18_11.75,3-11-1997,Corbula gibba,3
303,site_54.18_11.75,7-22-1997,Corbula gibba,3
304,site_54.18_11.75,11-7-1997,Corbula gibba,9
305,site_54.18_11.75,3-11-1998,Corbula gibba,13
306,site_54.18_11.75,7-23-1998,Corbula gibba,37
307,site_54.18_11.75,11-3-1998,Corbula gibba,28
308,site_54.18_11.75,2-12-1999,Corbula gibba,41
309,site_54.18_11.75,3-16-1999,Corbula gibba,78
310,site_54.18_11.75,8-4-1999,Corbula gibba,59
311,site_54.18_11.75,11-16-1999,Corbula gibba,59
312,site_54.18_11.75,2-18-2000,Corbula gibba,3
313,site_54.18_11.75,4-12-2000,Corbula gibba,43
314,site_54.18_11.75,8-30-2000,Corbula gibba,3
315,site_54.18_11.75,10-25-2000,Corbula gibba,7
316,site_54.18_11.75,6-28-2001,Corbula gibba,3
317,site_54.18_11.75,10-26-2001,Corbula gibba,24
318,site_54.18_11.75,2-5-2002,Corbula gibba,3
319,site_54.18_11.75,2-14-2003,Corbula gibba,1
320,site_54.18_11.75,10-14-2003,Corbula gibba,1
321,site_54.18_11.75,8-21-2004,Corbula gibba,10
322,site_54.18_11.75,10-30-2004,Corbula gibba,17
323,site_54.18_11.75,2-8-2005,Corbula gibba,20
324,site_54.18_11.75,8-4-1999,Corophium crassicorne,3
325,site_54.18_11.75,4-12-2000,Corophium crassicorne,3
326,site_54.18_11.75,2-5-2002,Corophium crassicorne,1
327,site_54.18_11.75,2-8-2005,Corophium crassicorne,1
328,site_54.18_11.75,10-30-2004,Corophium insidiosum,1
329,site_54.18_11.75,2-5-2002,Coryne tubulosa,1
330,site_54.18_11.75,10-4-1995,Crangon crangon,3
331,site_54.18_11.75,2-12-1999,Crangon crangon,1
332,site_54.18_11.75,8-30-2000,Crangon crangon,1
333,site_54.18_11.75,10-25-2000,Crangon crangon,1
334,site_54.18_11.75,6-28-2001,Crangon crangon,1
335,site_54.18_11.75,10-26-2001,Crangon crangon,1
336,site_54.18_11.75,2-5-2002,Crangon crangon,2
337,site_54.18_11.75,2-14-2003,Crangon crangon,1
338,site_54.18_11.75,10-30-2004,Crangon crangon,1
339,site_54.18_11.75,2-8-2005,Crangon crangon,1
340,site_54.18_11.75,3-27-2001,Dendrodoa grossularia,3
341,site_54.18_11.75,2-5-2002,Dendrodoa grossularia,1
342,site_54.18_11.75,2-14-2003,Dendrodoa grossularia,1
343,site_54.18_11.75,10-14-2003,Dendrodoa grossularia,1
344,site_54.18_11.75,8-21-2004,Dendrodoa grossularia,1
345,site_54.18_11.75,2-8-2005,Dendrodoa grossularia,1
346,site_54.18_11.75,2-18-2000,Diaphana minuta,3
347,site_54.18_11.75,8-5-1994,Diastylis rathkei,534
348,site_54.18_11.75,10-4-1995,Diastylis rathkei,215
349,site_54.18_11.75,5-15-1996,Diastylis rathkei,224
350,site_54.18_11.75,6-26-1996,Diastylis rathkei,905
351,site_54.18_11.75,9-24-1996,Diastylis rathkei,354
352,site_54.18_11.75,3-11-1997,Diastylis rathkei,131
353,site_54.18_11.75,7-22-1997,Diastylis rathkei,1710
354,site_54.18_11.75,11-7-1997,Diastylis rathkei,715
355,site_54.18_11.75,3-11-1998,Diastylis rathkei,137
356,site_54.18_11.75,7-23-1998,Diastylis rathkei,432
357,site_54.18_11.75,11-3-1998,Diastylis rathkei,165
358,site_54.18_11.75,2-12-1999,Diastylis rathkei,61
359,site_54.18_11.75,3-16-1999,Diastylis rathkei,34
360,site_54.18_11.75,8-4-1999,Diastylis rathkei,411
361,site_54.18_11.75,11-16-1999,Diastylis rathkei,34
362,site_54.18_11.75,2-18-2000,Diastylis rathkei,58
363,site_54.18_11.75,4-12-2000,Diastylis rathkei,87
364,site_54.18_11.75,8-30-2000,Diastylis rathkei,1871
365,site_54.18_11.75,10-25-2000,Diastylis rathkei,65
366,site_54.18_11.75,3-27-2001,Diastylis rathkei,85
367,site_54.18_11.75,6-28-2001,Diastylis rathkei,1429
