,site,scientificnameaccepted,quarter,yearcollected,Count (Dmnless)
0,site_54.03_11.37,Ampharete baltica,2,1994,235
1,site_54.03_11.37,Ampharete baltica,4,1993,272
2,site_54.03_11.37,Ampithoe rubricata,4,1993,51
3,site_54.03_11.37,Arctica islandica,4,1993,5
4,site_54.03_11.37,Aricidea cerrutii,2,1994,14
5,site_54.03_11.37,Astarte borealis,2,1994,3
6,site_54.03_11.37,Bylgides sarsi,2,1994,3
7,site_54.03_11.37,Bylgides sarsi,4,1992,3
8,site_54.03_11.37,Bylgides sarsi,4,1993,17
9,site_54.03_11.37,Capitella capitata,4,1992,340
10,site_54.03_11.37,Capitella capitata,4,1993,17
11,site_54.03_11.37,Cerastoderma glaucum,2,1994,17
12,site_54.03_11.37,Cerastoderma glaucum,4,1993,17
13,site_54.03_11.37,Corophium crassicorne,2,1994,7
14,site_54.03_11.37,Crangon crangon,4,1992,3
15,site_54.03_11.37,Diastylis rathkei,4,1993,5
16,site_54.03_11.37,Eteone longa,4,1993,7
17,site_54.03_11.37,Gammarus salinus,4,1993,3
18,site_54.03_11.37,Gastrosaccus spinifer,2,1994,3
19,site_54.03_11.37,Halicryptus spinulosus,2,1994,20
20,site_54.03_11.37,Halicryptus spinulosus,4,1992,3
21,site_54.03_11.37,Halicryptus spinulosus,4,1993,17
22,site_54.03_11.37,Harmothoe imbricata,2,1994,3
23,site_54.03_11.37,Hartlaubella gelatinosa,2,1994,1
24,site_54.03_11.37,Hediste diversicolor,2,1994,61
25,site_54.03_11.37,Hediste diversicolor,4,1992,10
26,site_54.03_11.37,Hediste diversicolor,4,1993,20
27,site_54.03_11.37,Heteromastus filiformis,2,1994,218
28,site_54.03_11.37,Heteromastus filiformis,4,1993,41
29,site_54.03_11.37,Hydrobia ulvae,2,1994,2262
30,site_54.03_11.37,Hydrobia ulvae,4,1992,3330
31,site_54.03_11.37,Hydrobia ulvae,4,1993,1150
32,site_54.03_11.37,Idotea balthica,4,1993,7
33,site_54.03_11.37,Lagis koreni,4,1993,10
34,site_54.03_11.37,Macoma balthica,2,1994,177
35,site_54.03_11.37,Macoma balthica,4,1992,3
36,site_54.03_11.37,Macoma balthica,4,1993,129
37,site_54.03_11.37,Mya arenaria,2,1994,99
38,site_54.03_11.37,Mya arenaria,4,1993,3
39,site_54.03_11.37,Mytilus edulis,2,1994,1578
40,site_54.03_11.37,Mytilus edulis,4,1992,48
41,site_54.03_11.37,Mytilus edulis,4,1993,963
42,site_54.03_11.37,Neanthes virens,2,1994,7
43,site_54.03_11.37,Nemertina,4,1993,3
44,site_54.03_11.37,Nephtys hombergii,2,1994,20
45,site_54.03_11.37,Nephtys hombergii,4,1992,3
46,site_54.03_11.37,Nephtys hombergii,4,1993,3
47,site_54.03_11.37,Oligochaeta,4,1992,85
48,site_54.03_11.37,Onoba semicostata,2,1994,7
49,site_54.03_11.37,Polydora,4,1992,718
50,site_54.03_11.37,Polydora,4,1993,143
51,site_54.03_11.37,Polydora (Polydora) quadrilobata,2,1994,122
52,site_54.03_11.37,Polydora ciliata,2,1994,10
53,site_54.03_11.37,Polydora cornuta,2,1994,17
54,site_54.03_11.37,Pygospio elegans,2,1994,932
55,site_54.03_11.37,Pygospio elegans,4,1993,1099
56,site_54.03_11.37,Retusa obtusa,2,1994,3
57,site_54.03_11.37,Retusa truncatula,2,1994,3
58,site_54.03_11.37,Retusa truncatula,4,1993,3
59,site_54.03_11.37,Scoloplos armiger,2,1994,391
60,site_54.03_11.37,Scoloplos armiger,4,1993,789
61,site_54.03_11.37,Terebellides stroemii,4,1993,10
62,site_54.03_11.37,Tubificoides benedeni,2,1994,3
63,site_54.06_11.06,Asterias rubens,3,1980,12
64,site_54.06_11.06,Bylgides sarsi,3,1980,126
65,site_54.06_11.06,Capitella capitata,3,1980,744
66,site_54.06_11.06,Dendrodoa grossularia,3,1980,15
67,site_54.06_11.06,Diastylis rathkei,3,1980,9
68,site_54.06_11.06,Eucratea loricata,3,1980,1
69,site_54.06_11.06,Halicryptus spinulosus,3,1980,15
70,site_54.06_11.06,Macoma balthica,3,1980,6
71,site_54.06_11.06,Mytilus edulis,3,1980,6
72,site_54.06_11.06,Polydora ciliata,3,1980,21
73,site_54.06_11.06,Spio filicornis,3,1980,3
74,site_54.11_11.18,Ampithoe rubricata,4,1995,3
75,site_54.11_11.18,Arctica islandica,2,1994,267
76,site_54.11_11.18,Arctica islandica,4,1993,208
77,site_54.11_11.18,Arctica islandica,4,1994,60
78,site_54.11_11.18,Arctica islandica,4,1995,75
79,site_54.11_11.18,Bathyporeia pilosa,4,1994,3
80,site_54.11_11.18,Bylgides sarsi,2,1994,19
81,site_54.11_11.18,Capitella capitata,2,1994,3
82,site_54.11_11.18,Corophium volutator,4,1993,3
83,site_54.11_11.18,Corophium volutator,4,1994,3
84,site_54.11_11.18,Diastylis rathkei,2,1994,19
85,site_54.11_11.18,Diastylis rathkei,4,1993,13
86,site_54.11_11.18,Gastrosaccus spinifer,4,1993,6
87,site_54.11_11.18,Halicryptus spinulosus,2,1994,107
88,site_54.11_11.18,Halicryptus spinulosus,4,1992,9
89,site_54.11_11.18,Halicryptus spinulosus,4,1993,6
90,site_54.11_11.18,Halicryptus spinulosus,4,1994,28
91,site_54.11_11.18,Hediste diversicolor,4,1993,3
92,site_54.11_11.18,Heteromastus filiformis,2,1994,3
93,site_54.11_11.18,Hydrobia ulvae,4,1993,261
94,site_54.11_11.18,Macoma balthica,4,1993,16
95,site_54.11_11.18,Mytilus edulis,4,1995,3
96,site_54.11_11.18,Nephtys hombergii,2,1994,3
97,site_54.11_11.18,Nephtys hombergii,4,1993,3
98,site_54.11_11.18,Oligochaeta,4,1993,3
99,site_54.11_11.18,Phyllodoce (Anaitides) maculata,4,1995,3
100,site_54.11_11.18,Phyllodoce (Anaitides) mucosa,2,1994,9
101,site_54.11_11.18,Polydora,4,1992,41
102,site_54.11_11.18,Polydora,4,1993,50
103,site_54.11_11.18,Polydora ciliata,2,1994,472
104,site_54.11_11.18,Polydora ciliata,4,1994,6
105,site_54.11_11.18,Polydora ciliata,4,1995,280
106,site_54.18_11.75,Abra alba,1,1997,43
107,site_54.18_11.75,Abra alba,1,1998,668
108,site_54.18_11.75,Abra alba,1,1999,984
109,site_54.18_11.75,Abra alba,1,2000,7
110,site_54.18_11.75,Abra alba,1,2002,255
111,site_54.18_11.75,Abra alba,1,2004,2799
112,site_54.18_11.75,Abra alba,1,2005,1
113,site_54.18_11.75,Abra alba,2,2000,3
114,site_54.18_11.75,Abra alba,2,2001,61
115,site_54.18_11.75,Abra alba,3,1994,91
116,site_54.18_11.75,Abra alba,3,1996,16
117,site_54.18_11.75,Abra alba,3,1997,280
118,site_54.18_11.75,Abra alba,3,1998,647
119,site_54.18_11.75,Abra alba,3,1999,134
120,site_54.18_11.75,Abra alba,3,2000,2235
121,site_54.18_11.75,Abra alba,3,2004,881
122,site_54.18_11.75,Abra alba,4,1997,1113
123,site_54.18_11.75,Abra alba,4,1998,215
124,site_54.18_11.75,Abra alba,4,1999,9
125,site_54.18_11.75,Abra alba,4,2000,3
126,site_54.18_11.75,Abra alba,4,2001,306
127,site_54.18_11.75,Abra alba,4,2003,2878
128,site_54.18_11.75,Abra alba,4,2004,3
129,site_54.18_11.75,Alcyonidium polyoum,1,1999,1
130,site_54.18_11.75,Alcyonidium polyoum,3,2000,2
131,site_54.18_11.75,Ampharete acutifrons,2,2001,7
132,site_54.18_11.75,Ampharete acutifrons,3,1999,3
133,site_54.18_11.75,Ampharete acutifrons,3,2000,10
134,site_54.18_11.75,Ampharete acutifrons,4,2004,3
135,site_54.18_11.75,Ampharete baltica,1,1997,12
136,site_54.18_11.75,Ampharete baltica,1,1998,3
137,site_54.18_11.75,Ampharete baltica,1,1999,44
138,site_54.18_11.75,Ampharete baltica,1,2000,24
139,site_54.18_11.75,Ampharete baltica,1,2002,3
140,site_54.18_11.75,Ampharete baltica,1,2005,7
141,site_54.18_11.75,Ampharete baltica,2,2001,1
142,site_54.18_11.75,Ampharete baltica,3,1997,3
143,site_54.18_11.75,Ampharete baltica,3,1999,96
144,site_54.18_11.75,Ampharete baltica,3,2000,7
145,site_54.18_11.75,Ampharete baltica,3,2004,3
146,site_54.18_11.75,Ampharete baltica,4,1997,40
147,site_54.18_11.75,Ampharete baltica,4,1998,6
148,site_54.18_11.75,Ampharete baltica,4,1999,112
149,site_54.18_11.75,Ampharete baltica,4,2000,3
150,site_54.18_11.75,Ampharete baltica,4,2004,31
151,site_54.18_11.75,Ampithoe rubricata,1,2000,1
152,site_54.18_11.75,Ampithoe rubricata,1,2002,1
153,site_54.18_11.75,Ampithoe rubricata,3,2000,1
154,site_54.18_11.75,Ampithoe rubricata,4,2004,1
155,site_54.18_11.75,Arctica islandica,1,1997,15
156,site_54.18_11.75,Arctica islandica,1,1998,12
157,site_54.18_11.75,Arctica islandica,1,1999,125
158,site_54.18_11.75,Arctica islandica,1,2000,105
159,site_54.18_11.75,Arctica islandica,1,2001,160
160,site_54.18_11.75,Arctica islandica,1,2002,116
161,site_54.18_11.75,Arctica islandica,1,2003,78
162,site_54.18_11.75,Arctica islandica,1,2004,92
163,site_54.18_11.75,Arctica islandica,1,2005,75
164,site_54.18_11.75,Arctica islandica,2,1996,34
165,site_54.18_11.75,Arctica islandica,2,2000,16
166,site_54.18_11.75,Arctica islandica,2,2001,105
167,site_54.18_11.75,Arctica islandica,3,1994,26
168,site_54.18_11.75,Arctica islandica,3,1996,9
169,site_54.18_11.75,Arctica islandica,3,1997,25
170,site_54.18_11.75,Arctica islandica,3,1998,3
171,site_54.18_11.75,Arctica islandica,3,1999,34
172,site_54.18_11.75,Arctica islandica,3,2000,85
173,site_54.18_11.75,Arctica islandica,3,2004,177
174,site_54.18_11.75,Arctica islandica,4,1995,31
175,site_54.18_11.75,Arctica islandica,4,1997,12
176,site_54.18_11.75,Arctica islandica,4,1998,47
177,site_54.18_11.75,Arctica islandica,4,1999,9
178,site_54.18_11.75,Arctica islandica,4,2000,99
179,site_54.18_11.75,Arctica islandica,4,2001,129
180,site_54.18_11.75,Arctica islandica,4,2003,122
181,site_54.18_11.75,Arctica islandica,4,2004,146
182,site_54.18_11.75,Arenicola marina,3,1994,13
183,site_54.18_11.75,Arenicola marina,3,1998,9
184,site_54.18_11.75,Arenicola marina,4,2001,1
185,site_54.18_11.75,Aricidea cerrutii,1,1999,7
186,site_54.18_11.75,Aricidea suecica,1,1998,6
187,site_54.18_11.75,Aricidea suecica,1,2002,3
188,site_54.18_11.75,Aricidea suecica,2,1996,6
189,site_54.18_11.75,Aricidea suecica,2,2000,6
190,site_54.18_11.75,Aricidea suecica,3,1999,3
191,site_54.18_11.75,Aricidea suecica,3,2000,14
192,site_54.18_11.75,Aricidea suecica,4,1997,3
193,site_54.18_11.75,Aricidea suecica,4,2000,3
194,site_54.18_11.75,Aricidea suecica,4,2001,1
195,site_54.18_11.75,Astarte borealis,1,1998,9
196,site_54.18_11.75,Astarte borealis,1,1999,14
197,site_54.18_11.75,Astarte borealis,1,2000,1
198,site_54.18_11.75,Astarte borealis,1,2001,14
199,site_54.18_11.75,Astarte borealis,1,2002,10
200,site_54.18_11.75,Astarte borealis,1,2003,1
201,site_54.18_11.75,Astarte borealis,1,2004,3
202,site_54.18_11.75,Astarte borealis,1,2005,1
203,site_54.18_11.75,Astarte borealis,2,1996,12
204,site_54.18_11.75,Astarte borealis,2,2000,3
205,site_54.18_11.75,Astarte borealis,2,2001,10
206,site_54.18_11.75,Astarte borealis,3,1996,3
207,site_54.18_11.75,Astarte borealis,3,1999,12
208,site_54.18_11.75,Astarte borealis,3,2000,17
209,site_54.18_11.75,Astarte borealis,3,2004,3
210,site_54.18_11.75,Astarte borealis,4,1998,3
211,site_54.18_11.75,Astarte borealis,4,2000,17
212,site_54.18_11.75,Astarte borealis,4,2001,3
213,site_54.18_11.75,Astarte borealis,4,2003,31
214,site_54.18_11.75,Astarte borealis,4,2004,1
215,site_54.18_11.75,Astarte elliptica,1,2000,1
216,site_54.18_11.75,Astarte elliptica,1,2002,1
217,site_54.18_11.75,Astarte elliptica,3,2000,1
218,site_54.18_11.75,Astarte elliptica,4,1995,31
219,site_54.18_11.75,Astarte elliptica,4,1998,3
220,site_54.18_11.75,Astarte elliptica,4,2000,1
221,site_54.18_11.75,Astarte elliptica,4,2004,1
222,site_54.18_11.75,Asterias rubens,1,1998,3
223,site_54.18_11.75,Asterias rubens,1,1999,3
224,site_54.18_11.75,Asterias rubens,1,2000,1
225,site_54.18_11.75,Asterias rubens,1,2001,3
226,site_54.18_11.75,Asterias rubens,1,2002,7
227,site_54.18_11.75,Asterias rubens,1,2003,3
228,site_54.18_11.75,Asterias rubens,1,2004,1
229,site_54.18_11.75,Asterias rubens,1,2005,1
230,site_54.18_11.75,Asterias rubens,2,2001,1
231,site_54.18_11.75,Asterias rubens,3,1994,13
232,site_54.18_11.75,Asterias rubens,3,1996,3
233,site_54.18_11.75,Asterias rubens,3,2000,1
234,site_54.18_11.75,Asterias rubens,3,2004,1
235,site_54.18_11.75,Asterias rubens,4,2000,1
236,site_54.18_11.75,Asterias rubens,4,2001,3
237,site_54.18_11.75,Asterias rubens,4,2003,1
238,site_54.18_11.75,Asterias rubens,4,2004,1
239,site_54.18_11.75,Balanus crenatus,1,2003,1
240,site_54.18_11.75,Balanus crenatus,4,2004,1
241,site_54.18_11.75,Bathyporeia pilosa,1,1998,3
242,site_54.18_11.75,Bathyporeia pilosa,1,2000,1
243,site_54.18_11.75,Bougainvillia ramosa,4,2003,1
244,site_54.18_11.75,Bowerbankia gracilis,4,2001,1
245,site_54.18_11.75,Bylgides sarsi,1,1997,22
246,site_54.18_11.75,Bylgides sarsi,1,1998,31
247,site_54.18_11.75,Bylgides sarsi,1,1999,30
248,site_54.18_11.75,Bylgides sarsi,1,2000,3
249,site_54.18_11.75,Bylgides sarsi,1,2001,3
250,site_54.18_11.75,Bylgides sarsi,1,2002,24
251,site_54.18_11.75,Bylgides sarsi,1,2003,1
252,site_54.18_11.75,Bylgides sarsi,1,2004,20
253,site_54.18_11.75,Bylgides sarsi,1,2005,17
254,site_54.18_11.75,Bylgides sarsi,2,1996,183
255,site_54.18_11.75,Bylgides sarsi,2,2000,37
256,site_54.18_11.75,Bylgides sarsi,2,2001,61
257,site_54.18_11.75,Bylgides sarsi,3,1994,65
258,site_54.18_11.75,Bylgides sarsi,3,1996,37
259,site_54.18_11.75,Bylgides sarsi,3,1997,121
260,site_54.18_11.75,Bylgides sarsi,3,1998,100
261,site_54.18_11.75,Bylgides sarsi,3,1999,93
262,site_54.18_11.75,Bylgides sarsi,3,2000,31
263,site_54.18_11.75,Bylgides sarsi,3,2004,78
264,site_54.18_11.75,Bylgides sarsi,4,1995,6
265,site_54.18_11.75,Bylgides sarsi,4,1997,12
266,site_54.18_11.75,Bylgides sarsi,4,1998,16
267,site_54.18_11.75,Bylgides sarsi,4,1999,22
268,site_54.18_11.75,Bylgides sarsi,4,2000,7
269,site_54.18_11.75,Bylgides sarsi,4,2001,34
270,site_54.18_11.75,Bylgides sarsi,4,2003,41
271,site_54.18_11.75,Bylgides sarsi,4,2004,31
272,site_54.18_11.75,Callopora lineata,1,1999,1
273,site_54.18_11.75,Callopora lineata,1,2002,1
274,site_54.18_11.75,Callopora lineata,2,2001,1
275,site_54.18_11.75,Callopora lineata,3,2004,1
276,site_54.18_11.75,Callopora lineata,4,2001,1
277,site_54.18_11.75,Callopora lineata,4,2004,1
278,site_54.18_11.75,Capitella capitata,1,2000,3
279,site_54.18_11.75,Capitella capitata,2,1996,15
280,site_54.18_11.75,Capitella capitata,3,1994,52
281,site_54.18_11.75,Capitella capitata,3,2000,1
282,site_54.18_11.75,Capitella capitata,3,2004,3
283,site_54.18_11.75,Capitella capitata,4,1995,6
284,site_54.18_11.75,Capitella capitata,4,2000,7
285,site_54.18_11.75,Capitella capitata,4,2003,1
286,site_54.18_11.75,Capitella capitata,4,2004,1
287,site_54.18_11.75,Carcinus maenas,4,2004,1
288,site_54.18_11.75,Cephalothrix,1,1999,3
289,site_54.18_11.75,Cerastoderma glaucum,3,1994,26
290,site_54.18_11.75,Clytia hemisphaerica,3,2000,1
291,site_54.18_11.75,Corbula gibba,1,1997,3
292,site_54.18_11.75,Corbula gibba,1,1998,13
293,site_54.18_11.75,Corbula gibba,1,1999,119
294,site_54.18_11.75,Corbula gibba,1,2000,3
295,site_54.18_11.75,Corbula gibba,1,2002,3
296,site_54.18_11.75,Corbula gibba,1,2003,1
297,site_54.18_11.75,Corbula gibba,1,2005,20
298,site_54.18_11.75,Corbula gibba,2,1996,9
299,site_54.18_11.75,Corbula gibba,2,2000,43
300,site_54.18_11.75,Corbula gibba,2,2001,3
301,site_54.18_11.75,Corbula gibba,3,1996,3
302,site_54.18_11.75,Corbula gibba,3,1997,3
303,site_54.18_11.75,Corbula gibba,3,1998,37
304,site_54.18_11.75,Corbula gibba,3,1999,59
305,site_54.18_11.75,Corbula gibba,3,2000,3
306,site_54.18_11.75,Corbula gibba,3,2004,10
307,site_54.18_11.75,Corbula gibba,4,1995,3
308,site_54.18_11.75,Corbula gibba,4,1997,9
309,site_54.18_11.75,Corbula gibba,4,1998,28
310,site_54.18_11.75,Corbula gibba,4,1999,59
311,site_54.18_11.75,Corbula gibba,4,2000,7
312,site_54.18_11.75,Corbula gibba,4,2001,24
313,site_54.18_11.75,Corbula gibba,4,2003,1
314,site_54.18_11.75,Corbula gibba,4,2004,17
315,site_54.18_11.75,Corophium crassicorne,1,2002,1
316,site_54.18_11.75,Corophium crassicorne,1,2005,1
317,site_54.18_11.75,Corophium crassicorne,2,2000,3
318,site_54.18_11.75,Corophium crassicorne,3,1999,3
319,site_54.18_11.75,Corophium insidiosum,4,2004,1
320,site_54.18_11.75,Coryne tubulosa,1,2002,1
321,site_54.18_11.75,Crangon crangon,1,1999,1
322,site_54.18_11.75,Crangon crangon,1,2002,2
323,site_54.18_11.75,Crangon crangon,1,2003,1
324,site_54.18_11.75,Crangon crangon,1,2005,1
325,site_54.18_11.75,Crangon crangon,2,2001,1
326,site_54.18_11.75,Crangon crangon,3,2000,1
327,site_54.18_11.75,Crangon crangon,4,1995,3
328,site_54.18_11.75,Crangon crangon,4,2000,1
329,site_54.18_11.75,Crangon crangon,4,2001,1
330,site_54.18_11.75,Crangon crangon,4,2004,1
331,site_54.18_11.75,Dendrodoa grossularia,1,2001,3
332,site_54.18_11.75,Dendrodoa grossularia,1,2002,1
333,site_54.18_11.75,Dendrodoa grossularia,1,2003,1
334,site_54.18_11.75,Dendrodoa grossularia,1,2005,1
335,site_54.18_11.75,Dendrodoa grossularia,3,2004,1
336,site_54.18_11.75,Dendrodoa grossularia,4,2003,1
337,site_54.18_11.75,Diaphana minuta,1,2000,3
338,site_54.18_11.75,Diastylis rathkei,1,1997,131
339,site_54.18_11.75,Diastylis rathkei,1,1998,137
340,site_54.18_11.75,Diastylis rathkei,1,1999,95
341,site_54.18_11.75,Diastylis rathkei,1,2000,58
342,site_54.18_11.75,Diastylis rathkei,1,2001,85
343,site_54.18_11.75,Diastylis rathkei,1,2002,486
344,site_54.18_11.75,Diastylis rathkei,1,2003,85
345,site_54.18_11.75,Diastylis rathkei,1,2004,88
346,site_54.18_11.75,Diastylis rathkei,1,2005,119
347,site_54.18_11.75,Diastylis rathkei,2,1996,1129
348,site_54.18_11.75,Diastylis rathkei,2,2000,87
349,site_54.18_11.75,Diastylis rathkei,2,2001,1429
350,site_54.18_11.75,Diastylis rathkei,3,1994,534
351,site_54.18_11.75,Diastylis rathkei,3,1996,354
352,site_54.18_11.75,Diastylis rathkei,3,1997,1710
353,site_54.18_11.75,Diastylis rathkei,3,1998,432
354,site_54.18_11.75,Diastylis rathkei,3,1999,411
355,site_54.18_11.75,Diastylis rathkei,3,2000,1871
356,site_54.18_11.75,Diastylis rathkei,3,2004,1398
357,site_54.18_11.75,Diastylis rathkei,4,1995,215
358,site_54.18_11.75,Diastylis rathkei,4,1997,715
359,site_54.18_11.75,Diastylis rathkei,4,1998,165
360,site_54.18_11.75,Diastylis rathkei,4,1999,34
361,site_54.18_11.75,Diastylis rathkei,4,2000,65
362,site_54.18_11.75,Diastylis rathkei,4,2001,959
363,site_54.18_11.75,Diastylis rathkei,4,2003,99
364,site_54.18_11.75,Diastylis rathkei,4,2004,184
365,site_54.18_11.75,Dynamena pumila,1,2005,1
366,site_54.18_11.75,Edwardsia danica,1,2001,3
367,site_54.18_11.75,Edwardsia danica,1,2002,3
368,site_54.18_11.75,Edwardsia danica,1,2003,3
369,site_54.18_11.75,Edwardsia danica,1,2004,10
370,site_54.18_11.75,Edwardsia danica,1,2005,3
371,site_54.18_11.75,Edwardsia danica,3,2000,7
372,site_54.18_11.75,Edwardsia danica,4,2000,14
373,site_54.18_11.75,Edwardsia danica,4,2001,3
374,site_54.18_11.75,Edwardsia danica,4,2004,24
375,site_54.18_11.75,Electra crustulenta,1,2003,1
376,site_54.18_11.75,Electra crustulenta,1,2005,1
377,site_54.18_11.75,Electra crustulenta,3,2000,1
378,site_54.18_11.75,Electra crustulenta,4,2001,1
379,site_54.18_11.75,Electra crustulenta,4,2003,1
380,site_54.18_11.75,Electra crustulenta,4,2004,1
381,site_54.18_11.75,Electra pilosa,1,2002,1
382,site_54.18_11.75,Electra pilosa,1,2005,1
383,site_54.18_11.75,Electra pilosa,2,1996,1
384,site_54.18_11.75,Electra pilosa,2,2001,1
385,site_54.18_11.75,Electra pilosa,3,2000,1
386,site_54.18_11.75,Electra pilosa,3,2004,1
387,site_54.18_11.75,Electra pilosa,4,2000,1
