,site,scientificnameaccepted,yearcollected,Count (Dmnless)
0,site_54.03_11.37,Ampharete baltica,1993,272
1,site_54.03_11.37,Ampharete baltica,1994,235
2,site_54.03_11.37,Ampithoe rubricata,1993,51
3,site_54.03_11.37,Arctica islandica,1993,5
4,site_54.03_11.37,Aricidea cerrutii,1994,14
5,site_54.03_11.37,Astarte borealis,1994,3
6,site_54.03_11.37,Bylgides sarsi,1992,3
7,site_54.03_11.37,Bylgides sarsi,1993,17
8,site_54.03_11.37,Bylgides sarsi,1994,3
9,site_54.03_11.37,Capitella capitata,1992,340
10,site_54.03_11.37,Capitella capitata,1993,17
11,site_54.03_11.37,Cerastoderma glaucum,1993,17
12,site_54.03_11.37,Cerastoderma glaucum,1994,17
13,site_54.03_11.37,Corophium crassicorne,1994,7
14,site_54.03_11.37,Crangon crangon,1992,3
15,site_54.03_11.37,Diastylis rathkei,1993,5
16,site_54.03_11.37,Eteone longa,1993,7
17,site_54.03_11.37,Gammarus salinus,1993,3
18,site_54.03_11.37,Gastrosaccus spinifer,1994,3
19,site_54.03_11.37,Halicryptus spinulosus,1992,3
20,site_54.03_11.37,Halicryptus spinulosus,1993,17
21,site_54.03_11.37,Halicryptus spinulosus,1994,20
22,site_54.03_11.37,Harmothoe imbricata,1994,3
23,site_54.03_11.37,Hartlaubella gelatinosa,1994,1
24,site_54.03_11.37,Hediste diversicolor,1992,10
25,site_54.03_11.37,Hediste diversicolor,1993,20
26,site_54.03_11.37,Hediste diversicolor,1994,61
27,site_54.03_11.37,Heteromastus filiformis,1993,41
28,site_54.03_11.37,Heteromastus filiformis,1994,218
29,site_54.03_11.37,Hydrobia ulvae,1992,3330
30,site_54.03_11.37,Hydrobia ulvae,1993,1150
31,site_54.03_11.37,Hydrobia ulvae,1994,2262
32,site_54.03_11.37,Idotea balthica,1993,7
33,site_54.03_11.37,Lagis koreni,1993,10
34,site_54.03_11.37,Macoma balthica,1992,3
35,site_54.03_11.37,Macoma balthica,1993,129
36,site_54.03_11.37,Macoma balthica,1994,177
37,site_54.03_11.37,Mya arenaria,1993,3
38,site_54.03_11.37,Mya arenaria,1994,99
39,site_54.03_11.37,Mytilus edulis,1992,48
40,site_54.03_11.37,Mytilus edulis,1993,963
41,site_54.03_11.37,Mytilus edulis,1994,1578
42,site_54.03_11.37,Neanthes virens,1994,7
43,site_54.03_11.37,Nemertina,1993,3
44,site_54.03_11.37,Nephtys hombergii,1992,3
45,site_54.03_11.37,Nephtys hombergii,1993,3
46,site_54.03_11.37,Nephtys hombergii,1994,20
47,site_54.03_11.37,Oligochaeta,1992,85
48,site_54.03_11.37,Onoba semicostata,1994,7
49,site_54.03_11.37,Polydora,1992,718
50,site_54.03_11.37,Polydora,1993,143
51,site_54.03_11.37,Polydora (Polydora) quadrilobata,1994,122
52,site_54.03_11.37,Polydora ciliata,1994,10
53,site_54.03_11.37,Polydora cornuta,1994,17
54,site_54.03_11.37,Pygospio elegans,1993,1099
55,site_54.03_11.37,Pygospio elegans,1994,932
56,site_54.03_11.37,Retusa obtusa,1994,3
57,site_54.03_11.37,Retusa truncatula,1993,3
58,site_54.03_11.37,Retusa truncatula,1994,3
59,site_54.03_11.37,Scoloplos armiger,1993,789
60,site_54.03_11.37,Scoloplos armiger,1994,391
61,site_54.03_11.37,Terebellides stroemii,1993,10
62,site_54.03_11.37,Tubificoides benedeni,1994,3
63,site_54.06_11.06,Asterias rubens,1980,12
64,site_54.06_11.06,Bylgides sarsi,1980,126
65,site_54.06_11.06,Capitella capitata,1980,744
66,site_54.06_11.06,Dendrodoa grossularia,1980,15
67,site_54.06_11.06,Diastylis rathkei,1980,9
68,site_54.06_11.06,Eucratea loricata,1980,1
69,site_54.06_11.06,Halicryptus spinulosus,1980,15
70,site_54.06_11.06,Macoma balthica,1980,6
71,site_54.06_11.06,Mytilus edulis,1980,6
72,site_54.06_11.06,Polydora ciliata,1980,21
73,site_54.06_11.06,Spio filicornis,1980,3
74,site_54.11_11.18,Ampithoe rubricata,1995,3
75,site_54.11_11.18,Arctica islandica,1993,208
76,site_54.11_11.18,Arctica islandica,1994,327
77,site_54.11_11.18,Arctica islandica,1995,75
78,site_54.11_11.18,Bathyporeia pilosa,1994,3
79,site_54.11_11.18,Bylgides sarsi,1994,19
80,site_54.11_11.18,Capitella capitata,1994,3
81,site_54.11_11.18,Corophium volutator,1993,3
82,site_54.11_11.18,Corophium volutator,1994,3
83,site_54.11_11.18,Diastylis rathkei,1993,13
84,site_54.11_11.18,Diastylis rathkei,1994,19
85,site_54.11_11.18,Gastrosaccus spinifer,1993,6
86,site_54.11_11.18,Halicryptus spinulosus,1992,9
87,site_54.11_11.18,Halicryptus spinulosus,1993,6
88,site_54.11_11.18,Halicryptus spinulosus,1994,135
89,site_54.11_11.18,Hediste diversicolor,1993,3
90,site_54.11_11.18,Heteromastus filiformis,1994,3
91,site_54.11_11.18,Hydrobia ulvae,1993,261
92,site_54.11_11.18,Macoma balthica,1993,16
93,site_54.11_11.18,Mytilus edulis,1995,3
94,site_54.11_11.18,Nephtys hombergii,1993,3
95,site_54.11_11.18,Nephtys hombergii,1994,3
96,site_54.11_11.18,Oligochaeta,1993,3
97,site_54.11_11.18,Phyllodoce (Anaitides) maculata,1995,3
98,site_54.11_11.18,Phyllodoce (Anaitides) mucosa,1994,9
99,site_54.11_11.18,Polydora,1992,41
100,site_54.11_11.18,Polydora,1993,50
101,site_54.11_11.18,Polydora ciliata,1994,478
102,site_54.11_11.18,Polydora ciliata,1995,280
103,site_54.18_11.75,Abra alba,1994,91
104,site_54.18_11.75,Abra alba,1996,16
105,site_54.18_11.75,Abra alba,1997,1436
106,site_54.18_11.75,Abra alba,1998,1530
107,site_54.18_11.75,Abra alba,1999,1127
