Year,Month,Day,Longitude,Latitude,Avg_Temperature,Avg_Salinity
1980,3,7,54.88,12.37,17.57659574468085,35.302
1980,3,21,54.0,12.67,27.49,35.366
1980,3,21,54.9,12.43,19.955454545454543,35.466136363636366
1980,3,25,58.67,13.0,16.5726,35.7234
1980,3,30,58.0,12.0,16.20145833333333,35.661750000000005
1980,3,30,57.97,11.0,16.348297872340424,35.52459574468085
1980,4,18,56.98,14.0,90.61999999999999,1.6600000000000001
1980,5,30,58.03,12.33,116.74358974358974,1.3743589743589744
1980,5,30,57.97,11.7,131.2527777777778,1.2027777777777777
1980,6,1,58.12,11.0,131.6638888888889,1.2444444444444445
1980,8,12,58.2,15.45,17.405263157894737,35.08157894736842
1980,10,24,55.03,11.58,19.00896551724138,35.29306896551724
1980,11,17,55.08,15.0,17.891136363636363,35.723181818181814
1981,1,13,54.05,12.2,25.834444444444443,35.717777777777776
1981,1,13,54.05,12.17,25.696875,35.6975
1981,1,13,54.03,12.13,23.8112,35.5264
1981,2,3,58.72,11.52,17.946458333333332,35.507083333333334
1981,2,3,55.3,12.97,24.417199999999998,35.922
1981,2,4,55.88,11.32,21.443529411764708,35.53558823529412
1981,2,6,58.5,11.52,15.91148936170213,35.64340425531915
1981,2,6,58.77,11.52,17.384285714285713,35.70224489795918
1981,2,9,58.52,11.0,18.560000000000002,35.83627906976744
1981,2,9,58.52,11.25,17.3896,35.7798
1981,2,9,58.77,11.27,24.854,36.2496
1981,2,11,58.77,11.02,16.971632653061224,35.757959183673464
1981,3,6,58.73,11.48,18.59090909090909,35.73340909090909
1981,5,16,54.05,12.72,30.450000000000003,35.958888888888886
1981,5,16,54.05,12.72,30.313333333333333,35.94888888888889
1981,5,16,54.05,12.72,30.21111111111111,35.97333333333333
1981,5,17,54.05,12.72,30.237777777777776,35.96111111111111
1981,5,17,54.05,12.72,30.169999999999998,35.952222222222225
1981,5,17,54.05,12.72,30.235555555555557,35.96111111111111
1981,5,17,54.05,12.72,30.32,35.96
1981,5,17,54.05,12.72,30.328888888888887,35.97333333333333
1981,5,17,54.05,12.72,30.43,35.95444444444444
1981,5,17,54.05,12.72,30.28111111111111,35.95666666666667
1981,5,17,54.05,12.72,30.245555555555555,35.94555555555556
1981,5,18,54.05,12.72,30.236666666666665,35.94777777777778
1981,5,18,54.05,12.72,30.20111111111111,35.95
1981,5,18,54.05,12.72,30.104285714285712,35.95714285714286
1981,5,18,54.05,12.72,30.224444444444444,35.94111111111111
1981,5,18,54.05,12.72,30.163333333333338,35.93555555555556
1981,5,18,54.05,12.72,30.11,35.93222222222222
1981,5,18,54.05,12.72,30.15666666666667,35.968888888888884
1981,5,18,54.05,12.72,30.098888888888887,35.97333333333333
1981,5,19,54.05,12.72,30.126666666666665,35.95222222222222
1981,5,19,54.05,12.72,30.153333333333332,35.97666666666666
1981,5,19,54.05,12.72,30.11777777777778,35.95666666666667
1981,5,19,54.05,12.72,30.11555555555556,35.94444444444444
1981,5,19,54.05,12.72,30.12111111111111,35.93666666666667
1981,5,19,54.05,12.72,30.09111111111111,35.93444444444444
1981,5,19,54.05,12.72,30.104444444444443,35.92666666666667
1981,5,19,54.05,12.72,30.10666666666667,35.888888888888886
1981,5,20,54.05,12.72,30.09777777777778,35.86555555555555
1981,5,20,54.05,12.72,30.096666666666668,35.861111111111114
1982,2,10,58.338,15.03,14.794545454545455,35.63681818181818
1983,6,5,54.0,14.02,21.010697674418605,35.659441860465115
1983,6,5,54.27,13.57,19.670851063829787,35.7811914893617
1983,6,6,54.63,13.18,18.746444444444446,35.70262222222222
1983,6,6,54.97,12.82,17.292307692307695,35.60128846153846
1983,6,6,55.32,12.47,21.17,35.73490909090909
1983,6,6,55.58,12.0,18.440208333333334,35.581854166666666
1983,6,6,55.9,11.63,19.129791666666666,35.59260416666667
1983,6,6,56.32,11.13,19.32409090909091,35.54675
1983,7,28,55.0,11.0,15.454791666666667,35.37166666666666
1983,7,28,55.02,12.03,19.99,35.500457142857144
1983,7,28,55.01,12.028,16.580416666666668,35.355
1983,7,28,55.0,12.712,17.739791666666665,35.48833333333334
1983,7,28,54.98,13.498,18.639791666666667,35.64875
1983,7,28,54.98,13.5,35.97321875,165.58125
1983,12,22,55.0,11.0,19.382454545454546,35.62659090909091
1983,12,28,57.9,11.62,18.074883720930234,35.686
1983,12,28,57.4,12.48,17.740444444444446,35.65824444444445
1983,12,29,56.95,13.23,18.148139534883722,35.63890697674419
1983,12,29,56.5,14.0,18.071590909090908,35.66765909090909
1983,12,29,55.12,14.35,21.8696875,35.73996875
1983,12,30,54.08,14.6,21.115294117647057,35.76920588235294
1984,1,6,54.55,14.82,21.837575757575756,35.83560606060606
1984,1,7,55.6,14.93,22.447666666666667,35.766933333333334
1984,1,7,56.62,15.1,19.266944444444444,35.961083333333335
1984,1,7,57.65,15.35,19.364242424242423,35.82478787878788
1984,1,7,58.5,15.5,16.324883720930234,35.65895
1984,1,24,55.0,11.0,19.293170731707317,35.795
1984,2,19,55.0,11.0,16.69903846153846,35.59655769230769
1984,2,22,54.5833,13.7833,19.45777777777778,35.727833333333336
1984,2,22,55.6833,13.9667,20.465625,35.79934375
1984,2,22,56.5,14.0,17.743589743589745,35.60068571428571
1984,2,23,56.75,13.5667,19.640975609756097,35.57543902439025
1984,2,23,57.0167,13.1333,17.714347826086957,35.47223913043478
1984,2,23,57.2833,12.7,17.116444444444443,35.52348717948718
1984,2,23,57.5333,12.2667,18.05195652173913,35.436
1984,2,24,57.8,11.8333,18.55095238095238,35.562538461538466
1984,2,24,58.05,11.3833,17.298510638297873,35.71152941176471
1984,2,26,55.0,11.0,17.2625,35.86376923076923
1984,2,28,58.17,11.5,19.01952380952381,35.974833333333336
1984,2,29,58.37,12.28,19.04404761904762,35.85733333333334
1984,3,1,58.2,13.18,19.040714285714287,35.786880952380955
